task_precision,task_recall,task_f1,time_exact_accuracy,time_close_accuracy_5m,time_close_accuracy_10m,duration_close_accuracy,start_mae_minutes,overlap_same_robot_count,predicted_tasks,true_tasks,matched_tasks,database_id,robot_id,target_week
96.7741935483871,88.23529411764706,92.3076923076923,33.33333333333333,33.33333333333333,33.33333333333333,100.0,1033.1666666666667,0.0,31.0,34.0,30.0,robot_5y,logista-00002-4ccc-8ddd-robot00000002,2030-07-22 00:00:00+02:00
93.18181818181817,100.0,96.47058823529412,39.02439024390244,39.02439024390244,41.46341463414634,95.1219512195122,1095.0,0.0,44.0,41.0,41.0,robot_5y,logista-00002-4ccc-8ddd-robot00000002,2030-07-29 00:00:00+02:00
92.5925925925926,73.52941176470588,81.9672131147541,64.0,64.0,64.0,96.0,396.0,0.0,27.0,34.0,25.0,robot_5y,logista-00002-4ccc-8ddd-robot00000002,2030-08-05 00:00:00+02:00
96.29629629629629,81.25,88.13559322033898,30.76923076923077,30.76923076923077,30.76923076923077,88.46153846153845,1334.0384615384614,0.0,27.0,32.0,26.0,robot_5y,logista-00002-4ccc-8ddd-robot00000002,2030-08-12 00:00:00+02:00
96.96969696969697,86.48648648648648,91.42857142857143,68.75,68.75,71.875,100.0,274.0625,0.0,33.0,37.0,32.0,robot_5y,logista-00002-4ccc-8ddd-robot00000002,2030-08-19 00:00:00+02:00
90.9090909090909,88.23529411764706,89.55223880597015,40.0,40.0,40.0,86.66666666666667,522.5,0.0,33.0,34.0,30.0,robot_5y,logista-00002-4ccc-8ddd-robot00000002,2030-08-26 00:00:00+02:00
94.11764705882352,74.4186046511628,83.11688311688312,65.625,65.625,65.625,96.875,374.21875,0.0,34.0,43.0,32.0,robot_5y,logista-00002-4ccc-8ddd-robot00000002,2030-09-02 00:00:00+02:00
92.3076923076923,80.0,85.71428571428571,25.0,25.0,25.0,100.0,1337.9166666666667,0.0,26.0,30.0,24.0,robot_5y,logista-00002-4ccc-8ddd-robot00000002,2030-09-09 00:00:00+02:00
94.28571428571428,82.5,88.0,78.78787878787878,78.78787878787878,78.78787878787878,100.0,190.6060606060606,0.0,35.0,40.0,33.0,robot_5y,logista-00002-4ccc-8ddd-robot00000002,2030-09-16 00:00:00+02:00
87.09677419354838,77.14285714285715,81.81818181818183,44.44444444444444,44.44444444444444,44.44444444444444,92.5925925925926,777.2222222222222,0.0,31.0,35.0,27.0,robot_5y,logista-00002-4ccc-8ddd-robot00000002,2030-09-23 00:00:00+02:00
86.95652173913044,76.92307692307693,81.63265306122449,67.5,70.0,72.5,92.5,213.625,0.0,46.0,52.0,40.0,robot_5y,logista-00002-4ccc-8ddd-robot00000002,2030-09-30 00:00:00+02:00
92.85714285714286,97.5,95.1219512195122,53.84615384615385,53.84615384615385,58.97435897435898,97.43589743589743,314.2307692307692,0.0,42.0,40.0,39.0,robot_5y,logista-00002-4ccc-8ddd-robot00000002,2030-10-07 00:00:00+02:00
89.36170212765957,97.67441860465115,93.33333333333333,26.190476190476193,28.57142857142857,50.0,100.0,543.0952380952381,0.0,47.0,43.0,42.0,robot_5y,logista-00002-4ccc-8ddd-robot00000002,2030-10-14 00:00:00+02:00
95.0,88.37209302325581,91.56626506024097,28.947368421052634,31.57894736842105,55.26315789473685,94.73684210526315,465.13157894736844,0.0,40.0,43.0,38.0,robot_5y,logista-00002-4ccc-8ddd-robot00000002,2030-10-21 00:00:00+02:00
86.79245283018868,97.87234042553192,92.0,54.347826086956516,56.52173913043478,56.52173913043478,100.0,395.8695652173913,0.0,53.0,47.0,46.0,robot_5y,logista-00002-4ccc-8ddd-robot00000002,2030-10-28 00:00:00+01:00
95.65217391304348,95.65217391304348,95.65217391304348,63.63636363636363,65.9090909090909,65.9090909090909,95.45454545454545,317.95454545454544,0.0,46.0,46.0,44.0,robot_5y,logista-00002-4ccc-8ddd-robot00000002,2030-11-04 00:00:00+01:00
97.5,100.0,98.73417721518987,43.58974358974359,43.58974358974359,43.58974358974359,97.43589743589743,880.6410256410256,0.0,40.0,39.0,39.0,robot_5y,logista-00002-4ccc-8ddd-robot00000002,2030-11-11 00:00:00+01:00
95.74468085106383,97.82608695652173,96.7741935483871,68.88888888888889,68.88888888888889,68.88888888888889,97.77777777777777,447.77777777777777,0.0,47.0,46.0,45.0,robot_5y,logista-00002-4ccc-8ddd-robot00000002,2030-11-18 00:00:00+01:00
