change_acc,close_acc_1,close_acc_2,count_exact_acc,count_mae,day_acc,duration_mae_minutes,elapsed_sec,epoch,expected_count_mae,lr,model,selection_score,start_exact_acc,start_mae_minutes,start_tol_10m,start_tol_5m,time_exact_acc,train_change_acc,train_close_acc_1,train_close_acc_2,train_count_exact_acc,train_count_mae,train_day_acc,train_duration_mae_minutes,train_expected_count_mae,train_loss,train_start_exact_acc,train_start_mae_minutes,train_start_tol_10m,train_start_tol_5m,train_time_exact_acc,val_loss
95.1923076923077,14.903846153846153,22.115384615384617,4.8076923076923075,6.975961538461538,,,1.3848531246185303,1,5.160387442662166,0.0003,occurrence_residual,-56.90597284757173,,,,,,90.25,14.3125,24.25,4.1875,6.9375,,,5.685411863327026,3.984873447418213,,,,,,3.7299395157740665
95.1923076923077,16.346153846153847,25.721153846153847,5.528846153846154,6.447115384615385,,,0.7551143169403076,2,4.752871843484732,0.0003,occurrence_residual,-49.81917968163124,,,,,,93.875,13.75,23.5625,4.6875,6.903125,,,5.091163754463196,3.711108922958374,,,,,,3.581750833071195
95.1923076923077,19.471153846153847,31.490384615384617,6.490384615384615,5.543269230769231,,,0.736407995223999,3,4.54172710271982,0.0003,occurrence_residual,-39.6885430262639,,,,,,93.6875,15.375,27.0625,5.5,6.210625,,,4.777825860977173,3.5743239068984987,,,,,,3.490559779680692
95.1923076923077,19.471153846153847,31.73076923076923,6.490384615384615,5.4639423076923075,,,0.7769474983215332,4,4.260842323303223,0.0003,occurrence_residual,-37.93038852398212,,,,,,93.875,18.9375,31.25,6.8125,5.626875,,,4.541482782363891,3.491407470703125,,,,,,3.3897655193622294
95.1923076923077,22.35576923076923,33.41346153846154,7.9326923076923075,5.086538461538462,,,0.7318949699401855,5,4.0583307559673605,0.0003,occurrence_residual,-31.64918840848483,,,,,,93.875,20.25,32.8125,7.4375,5.30125,,,4.368593626022339,3.4098325824737548,,,,,,3.3077236872452955
95.1923076923077,24.51923076923077,36.53846153846154,9.134615384615385,4.783653846153846,,,0.7155880928039551,6,3.870152400090144,0.0003,occurrence_residual,-26.514263446514423,,,,,,93.875,21.4375,35.8125,7.9375,5.055625,,,4.195951428413391,3.329608373641968,,,,,,3.249614825615516
95.1923076923077,26.682692307692307,39.90384615384615,9.134615384615385,4.334134615384615,,,0.6193363666534424,7,3.726423281889695,0.0003,occurrence_residual,-21.585981589097237,,,,,,93.875,23.0625,36.375,8.9375,4.781875,,,4.062484006881714,3.2728448343276977,,,,,,3.189850935569176
95.1923076923077,27.884615384615383,41.58653846153846,9.85576923076923,4.125,,,0.6130280494689941,8,3.631821925823505,0.0003,occurrence_residual,-18.39267231867864,,,,,,94.0,24.5,38.5,8.75,4.5875,,,3.9396686935424805,3.2308199071884154,,,,,,3.149629372816819
95.1923076923077,30.528846153846153,44.71153846153846,10.576923076923077,3.8846153846153846,,,0.6167147159576416,9,3.5426179629105787,0.0003,occurrence_residual,-14.466144928565392,,,,,,93.875,25.1875,39.5,10.0625,4.314375,,,3.8134336042404176,3.1620818614959716,,,,,,3.101163992514977
95.1923076923077,31.971153846153847,46.63461538461539,10.336538461538462,3.6177884615384617,,,0.613145112991333,10,3.361758617254404,0.0003,occurrence_residual,-11.343669084402233,,,,,,93.8125,27.375,43.25,10.3125,3.933125,,,3.592314248085022,3.071803774833679,,,,,,3.04427354152386
95.4326923076923,34.13461538461539,49.75961538461539,11.057692307692308,3.4663461538461537,,,0.6121695041656494,11,3.2365018954643836,0.0003,occurrence_residual,-8.128699889549837,,,,,,93.5625,28.1875,44.625,11.625,3.8625,,,3.5203534936904908,3.0220352840423583,,,,,,2.9822523777301493
95.1923076923077,35.57692307692308,51.44230769230769,10.817307692307692,3.40625,,,0.648749828338623,12,3.175658886249249,0.0003,occurrence_residual,-7.1641740065354576,,,,,,93.9375,31.0,47.1875,12.5625,3.694375,,,3.4569513177871705,2.985119690895081,,,,,,2.959178429383498
95.4326923076923,37.74038461538461,54.32692307692308,12.98076923076923,3.1947115384615383,,,0.7203669548034668,13,3.048105845084557,0.0003,occurrence_residual,-2.01694261110746,,,,,,93.9375,32.5,49.0,12.625,3.529375,,,3.34431866645813,2.933402829170227,,,,,,2.912991322003878
95.1923076923077,38.70192307692308,55.52884615384615,12.5,3.0961538461538463,,,0.6853692531585693,14,2.941404709449181,0.0003,occurrence_residual,-0.9699457608736477,,,,,,94.0,34.1875,50.625,14.6875,3.260625,,,3.22459481716156,2.8769723987579345,,,,,,2.8575499791365404
95.67307692307692,39.66346153846154,57.93269230769231,14.182692307692308,2.8990384615384617,,,0.7158968448638916,15,2.8803975031926083,0.0003,occurrence_residual,2.9183138333834115,,,,,,93.8125,35.375,52.625,15.4375,3.20125,,,3.1440311908721923,2.832378416061401,,,,,,2.8163209695082445
95.67307692307692,40.625,58.65384615384615,13.942307692307692,2.8076923076923075,,,0.7231080532073975,16,2.8107579121222863,0.0003,occurrence_residual,4.023795274587776,,,,,,94.125,34.4375,52.125,15.375,3.1775,,,3.136510763168335,2.823510432243347,,,,,,2.7785288370572605
95.91346153846153,40.625,58.17307692307692,14.663461538461538,2.8125,,,0.7234838008880615,17,2.7722939344552846,0.0003,occurrence_residual,4.884381954486551,,,,,,93.75,36.25,54.1875,15.9375,3.068125,,,3.012167201042175,2.7624353551864624,,,,,,2.769734235910269
96.15384615384616,41.82692307692308,59.13461538461539,14.182692307692308,2.7740384615384617,,,0.7230324745178223,18,2.6553010023557224,0.0003,occurrence_residual,5.6239882982694205,,,,,,94.125,37.75,55.5625,16.0625,2.98875,,,2.898252806663513,2.72260235786438,,,,,,2.7277049101316013
95.67307692307692,42.54807692307692,61.05769230769231,14.182692307692308,2.7427884615384617,,,0.7323439121246338,19,2.60485591338231,0.0003,occurrence_residual,6.2800955772399885,,,,,,93.8125,38.0,56.625,16.875,2.8875,,,2.8352426314353942,2.6810615634918213,,,,,,2.7039682865142822
95.67307692307692,42.54807692307692,61.05769230769231,15.14423076923077,2.6177884615384617,,,0.724583625793457,20,2.525726089110741,0.0003,occurrence_residual,8.558153335864727,,,,,,93.875,39.0,57.25,18.0,2.834375,,,2.7995349407196044,2.6746844053268433,,,,,,2.6570032926706166
95.4326923076923,43.26923076923077,63.22115384615385,15.384615384615385,2.485576923076923,,,0.7550742626190186,21,2.5039560244633603,0.0003,occurrence_residual,10.17167590214656,,,,,,94.25,40.25,58.25,18.5625,2.716875,,,2.7660692358016967,2.6307287931442263,,,,,,2.6386890961573672
95.91346153846153,43.50961538461539,63.94230769230769,14.423076923076923,2.4927884615384617,,,0.7915530204772949,22,2.4146361442712636,0.0003,occurrence_residual,9.641936192145712,,,,,,94.375,40.875,58.125,18.5,2.73375,,,2.7102861905097964,2.6175430011749268,,,,,,2.6182692417731652
95.4326923076923,45.43269230769231,64.42307692307692,15.865384615384615,2.456730769230769,,,0.7136316299438477,23,2.368560029910161,0.0003,occurrence_residual,12.182009880359354,,,,,,93.625,41.875,59.25,20.25,2.674375,,,2.659103422164917,2.564780955314636,,,,,,2.5837936034569373
95.4326923076923,45.91346153846154,66.10576923076923,15.625,2.418269230769231,,,0.688894510269165,24,2.3447680106529822,0.0003,occurrence_residual,12.512754880464993,,,,,,94.1875,44.0625,59.875,20.1875,2.553125,,,2.5668625140190127,2.539685077667236,,,,,,2.567143495266254
95.91346153846153,48.79807692307692,67.0673076923077,15.865384615384615,2.298076923076923,,,0.7278735637664795,25,2.3124476212721605,0.0003,occurrence_residual,14.901651822603661,,,,,,94.625,43.375,61.5625,19.875,2.493125,,,2.503339424133301,2.507414741516113,,,,,,2.525037325345553
96.15384615384616,46.875,66.10576923076923,15.865384615384615,2.3798076923076925,,,0.7177681922912598,26,2.2707425447610707,0.0003,occurrence_residual,13.765587513263407,,,,,,93.5625,44.125,61.8125,20.375,2.505625,,,2.4870891165733338,2.48205265045166,,,,,,2.520736896074735
