change_acc,close_acc_1,close_acc_2,count_exact_acc,count_mae,duration_mae_minutes,elapsed_sec,epoch,expected_count_mae,model,selection_score,start_exact_acc,start_mae_minutes,start_tol_10m,start_tol_5m,train_change_acc,train_close_acc_1,train_close_acc_2,train_count_exact_acc,train_count_mae,train_duration_mae_minutes,train_expected_count_mae,train_loss,train_start_exact_acc,train_start_mae_minutes,train_start_tol_10m,train_start_tol_5m,val_loss
94.71153846153847,18.75,33.65384615384615,6.25,5.028846153846154,,1.2707679271697998,1,3.803551380450909,occurrence_residual,-33.16132090641902,,,,,92.375,16.1875,26.4375,5.375,6.56125,,4.868083958625793,3.8860251235961916,,,,,3.519048342337975
94.71153846153847,21.153846153846153,34.85576923076923,7.9326923076923075,4.449519230769231,,0.6949396133422852,2,3.0171668896308312,occurrence_residual,-22.857129096984863,,,,,94.5,21.875,36.1875,7.75,4.705,,3.8803032207489014,3.5294719886779786,,,,,3.2247203496786265
94.71153846153847,24.278846153846153,39.42307692307692,9.134615384615385,3.7908653846153846,,0.7741670608520508,3,2.8576001203977146,occurrence_residual,-14.653958173898548,,,,,94.5,23.125,38.0,7.875,4.32375,,3.4291440057754516,3.347766470909119,,,,,3.1076869781200704
94.71153846153847,31.73076923076923,51.44230769230769,10.576923076923077,3.1610576923076925,,0.8089554309844971,4,2.620675903100234,occurrence_residual,-4.617318997016323,,,,,94.5,27.5625,41.9375,10.25,4.00375,,3.2979811954498293,3.2395562076568605,,,,,2.9717011268322286
94.71153846153847,34.61538461538461,50.72115384615385,13.942307692307692,3.012019230769231,,0.6077718734741211,5,2.522937435370225,occurrence_residual,1.3409425662114067,,,,,94.5,28.6875,46.0625,11.4375,3.651875,,3.0653241443634034,3.1507496786117555,,,,,2.8852236454303446
94.71153846153847,37.01923076923077,53.36538461538461,13.942307692307692,2.7764423076923075,,0.5847835540771484,6,2.465618839630714,occurrence_residual,4.296178487630991,,,,,94.5,32.5625,48.5625,12.6875,3.44375,,2.959641125202179,3.0710654258728027,,,,,2.828323877774752
94.71153846153847,40.14423076923077,57.93269230769231,17.067307692307693,2.574519230769231,,0.6148920059204102,7,2.2121573778299184,occurrence_residual,11.144158950218786,,,,,94.375,33.4375,50.9375,13.4375,3.3075,,2.91860515832901,3.0078203582763674,,,,,2.740376802591177
94.47115384615384,39.90384615384615,56.25,16.10576923076923,2.6826923076923075,,0.6340749263763428,8,2.126213422188392,occurrence_residual,9.55283861893874,,,,,94.375,36.8125,54.375,15.0,3.08625,,2.733184425830841,2.9080672597885133,,,,,2.6904636529775767
94.71153846153847,41.58653846153846,60.81730769230769,16.58653846153846,2.387019230769231,,0.8098044395446777,9,2.10440863095797,occurrence_residual,13.09919239924504,,,,,94.3125,37.6875,55.3125,14.125,3.05375,,2.6961511898040773,2.888097424507141,,,,,2.6513739182398868
94.47115384615384,40.38461538461539,62.25961538461539,16.346153846153847,2.387019230769231,,0.812680721282959,10,2.089326546742366,occurrence_residual,12.474424582261308,,,,,94.5625,37.875,57.3125,16.5625,2.860625,,2.4894992542266845,2.760630898475647,,,,,2.5853660106658936
94.47115384615384,44.71153846153846,63.94230769230769,17.307692307692307,2.25,,0.706824541091919,11,1.8928049527681792,occurrence_residual,16.832626342773434,,,,,94.625,40.0,59.4375,17.9375,2.735625,,2.4575052404403688,2.738681755065918,,,,,2.5126913510836086
94.47115384615384,44.71153846153846,64.1826923076923,19.951923076923077,2.21875,,0.7107951641082764,12,2.075840574044448,occurrence_residual,18.994714626899125,,,,,94.1875,41.8125,60.1875,18.625,2.630625,,2.3498688197135924,2.669384231567383,,,,,2.513254899245042
94.71153846153847,46.15384615384615,64.1826923076923,17.78846153846154,2.21875,,0.76924729347229,13,1.8869152435889611,occurrence_residual,18.115800564105697,,,,,93.9375,42.8125,61.4375,17.1875,2.59375,,2.3224511432647703,2.6462157154083252,,,,,2.4700692892074585
94.47115384615384,47.59615384615385,68.50961538461539,18.028846153846153,2.076923076923077,,0.7660386562347412,14,1.7652191473887517,occurrence_residual,20.45835417967576,,,,,94.375,42.8125,61.8125,19.375,2.50125,,2.2575223636627197,2.578368420600891,,,,,2.415523043045631
94.71153846153847,47.35576923076923,67.0673076923077,19.23076923076923,2.048076923076923,,0.6538493633270264,15,1.8956466087928185,occurrence_residual,21.309240487905647,,,,,94.5,46.6875,65.0625,21.0625,2.335,,2.185550992488861,2.5354306411743166,,,,,2.4131625707332907
94.71153846153847,49.27884615384615,69.71153846153847,20.432692307692307,2.0024038461538463,,0.7436428070068359,16,1.6827441545633168,occurrence_residual,24.401234920208267,,,,,94.375,45.4375,64.375,21.625,2.27875,,2.0986404824256897,2.4627064085006714,,,,,2.3278815104411197
94.71153846153847,52.64423076923077,71.15384615384616,22.83653846153846,1.8629807692307692,,0.705064058303833,17,1.6637881719149077,occurrence_residual,29.17417423541729,,,,,94.3125,46.875,64.9375,21.9375,2.3025,,2.0895578479766845,2.45884788274765,,,,,2.306239128112793
94.47115384615384,54.56730769230769,73.5576923076923,22.596153846153847,1.8028846153846154,,0.6977653503417969,18,1.6353872189154992,occurrence_residual,30.177201124337998,,,,,94.5625,48.6875,68.3125,21.75,2.1175,,1.9726395893096924,2.385233931541443,,,,,2.278941741356483
94.47115384615384,53.36538461538461,71.63461538461539,22.596153846153847,1.8485576923076923,,0.7164788246154785,19,1.5556360666568463,occurrence_residual,29.71014804106492,,,,,94.4375,50.3125,70.375,23.5625,1.968125,,1.866627917289734,2.3231701374053957,,,,,2.2510682252737193
