change_acc,close_acc_1,close_acc_2,count_exact_acc,count_mae,duration_close_accuracy,duration_mae_minutes,elapsed_sec,epoch,matched_tasks,model,overlap_same_robot_count,predicted_tasks,selector_score,start_exact_acc,start_mae_minutes,start_tol_10m,start_tol_5m,task_f1,task_precision,task_recall,time_close_accuracy_10m,time_close_accuracy_5m,time_exact_accuracy,train_change_acc,train_close_acc_1,train_close_acc_2,train_count_exact_acc,train_count_mae,train_duration_mae_minutes,train_loss,train_start_exact_acc,train_start_mae_minutes,train_start_tol_10m,train_start_tol_5m,true_tasks,val_loss
89.1826923076923,15.625,28.125,3.125,5.15625,,,1.0655834674835205,1,,occurrence_residual,,,-33.4375,,,,,,,,,,,92.1875,21.9375,32.875,8.0625,5.05,,3.2117586660385133,,,,,,3.113389987211961
89.1826923076923,15.625,28.125,6.25,5.125,,,1.084975242614746,2,,occurrence_residual,,,-31.875,,,,,,,,,,,91.5,22.25,35.8125,8.375,4.545,,3.15151695728302,,,,,,3.0932694398439846
89.1826923076923,12.5,28.125,3.125,5.15625,,,1.1116821765899658,3,,occurrence_residual,,,-33.4375,,,,,,,,,,,91.6875,25.3125,38.75,9.875,4.4325,,3.12250244140625,,,,,,3.0653353287623477
89.1826923076923,15.625,28.125,6.25,5.125,,,1.067204475402832,4,,occurrence_residual,,,-31.875,,,,,,,,,,,93.25,27.5,41.375,9.75,4.274375,,3.0697446298599242,,,,,,2.995621314415565
89.1826923076923,15.625,28.125,6.25,4.96875,,,1.088031530380249,5,,occurrence_residual,,,-30.3125,,,,,,,,,,,93.0,28.6875,43.5,9.8125,4.1425,,3.033934178352356,,,,,,2.966474257982694
89.1826923076923,15.625,25.0,6.25,5.09375,,,1.0743465423583984,6,,occurrence_residual,,,-33.4375,,,,,,,,,,,92.375,27.75,42.125,11.1875,4.308125,,3.046543250083923,,,,,,2.942760577568641
89.1826923076923,15.625,28.125,6.25,5.0,,,1.0742437839508057,7,,occurrence_residual,,,-30.625,,,,,,,,,,,93.4375,30.4375,43.8125,12.875,4.1575,,2.997688579559326,,,,,,2.8747232327094445
89.1826923076923,15.625,28.125,6.25,4.96875,,,1.0698978900909424,8,,occurrence_residual,,,-30.3125,,,,,,,,,,,91.25,31.0,45.0,13.75,4.04375,,2.9784295749664307,,,,,,2.8602846769186168
89.1826923076923,15.625,28.125,6.25,4.96875,,,1.1232776641845703,9,,occurrence_residual,,,-30.3125,,,,,,,,,,,94.0,30.75,45.9375,13.5625,3.8425,,2.934872179031372,,,,,,2.8660298127394457
89.1826923076923,15.625,28.125,6.25,4.90625,,,1.2066688537597656,10,,occurrence_residual,,,-29.6875,,,,,,,,,,,93.25,33.875,47.25,14.9375,3.791875,,2.9364567470550536,,,,,,2.8167734696314883
89.1826923076923,15.625,28.125,6.25,4.875,,,1.0570948123931885,11,,occurrence_residual,,,-29.375,,,,,,,,,,,92.5,34.25,51.0,13.25,3.63625,,2.8880864667892454,,,,,,2.783638734083909
89.1826923076923,15.625,28.125,6.25,4.8125,,,1.077479600906372,12,,occurrence_residual,,,-28.75,,,,,,,,,,,92.6875,38.125,53.0625,16.0625,3.445,,2.8388737201690675,,,,,,2.7854457451747012
88.9423076923077,15.625,31.25,9.375,4.8125,,,1.0638482570648193,13,,occurrence_residual,,,-25.625,,,,,,,,,,,92.625,38.25,53.375,16.75,3.415,,2.8393906784057616,,,,,,2.7475638572986307
89.1826923076923,15.625,28.125,12.5,4.6875,,,1.0864782333374023,14,,occurrence_residual,,,-25.0,,,,,,,,,,,92.125,38.875,54.25,17.375,3.261875,,2.830187702178955,,,,,,2.7265341648688683
89.1826923076923,15.625,28.125,12.5,4.625,,,1.0738039016723633,15,,occurrence_residual,,,-24.375,,,,,,,,,,,94.1875,40.75,56.8125,17.6875,3.1625,,2.808253412246704,,,,,,2.685544105676504
89.1826923076923,15.625,31.25,12.5,4.53125,,,1.1044666767120361,16,,occurrence_residual,,,-21.5625,,,,,,,,,,,92.6875,39.4375,54.5625,16.375,3.25125,,2.8004855632781984,,,,,,2.701489265148456
89.1826923076923,15.625,28.125,9.375,4.6875,,,1.0930073261260986,17,,occurrence_residual,,,-26.25,,,,,,,,,,,93.375,38.6875,55.1875,16.5,3.169375,,2.7879190015792847,,,,,,2.6678040577815127
89.1826923076923,18.75,31.25,12.5,4.34375,,,1.0557575225830078,18,,occurrence_residual,,,-19.6875,,,,,,,,,,,93.5,40.625,57.625,17.375,3.146875,,2.7854996299743653,,,,,,2.6548369847811184
89.1826923076923,15.625,31.25,12.5,4.5,,,1.0406527519226074,19,,occurrence_residual,,,-21.25,,,,,,,,,,,93.0625,43.375,59.75,18.1875,2.89375,,2.6940895223617556,,,,,,2.669295072555542
88.9423076923077,15.625,34.375,12.5,4.46875,,,1.126124620437622,20,,occurrence_residual,,,-19.0625,,,,,,,,,,,93.1875,42.875,61.3125,19.3125,2.740625,,2.6943998908996583,,,,,,2.608777669759897
88.70192307692308,15.625,28.125,12.5,4.40625,,,1.1030292510986328,21,,occurrence_residual,,,-22.1875,,,,,,,,,,,93.5625,45.5,61.25,20.6875,2.758125,,2.679573669433594,,,,,,2.592279544243446
87.98076923076923,21.875,28.125,12.5,4.25,,,1.1074659824371338,22,,occurrence_residual,,,-20.625,,,,,,,,,,,93.0,46.3125,61.4375,20.8125,2.650625,,2.6500963497161867,,,,,,2.5950869780320387
89.1826923076923,21.875,31.25,6.25,4.4375,,,1.1193337440490723,23,,occurrence_residual,,,-23.125,,,,,,,,,,,94.5625,45.25,63.6875,19.5625,2.649375,,2.656573452949524,,,,,,2.5864077714773326
87.98076923076923,15.625,31.25,12.5,4.21875,,,1.1320905685424805,24,,occurrence_residual,,,-18.4375,,,,,,,,,,,92.625,47.4375,64.0625,22.25,2.553125,,2.6190618562698362,,,,,,2.5677376160254846
88.9423076923077,18.75,31.25,9.375,4.21875,,,1.1231606006622314,25,,occurrence_residual,,,-19.6875,,,,,,,,,,,92.0,47.75,64.1875,21.75,2.514375,,2.5919846153259276,,,,,,2.5418622493743896
88.70192307692308,18.75,28.125,12.5,4.28125,,,1.1135239601135254,26,,occurrence_residual,,,-20.9375,,,,,,,,,,,93.875,47.5,66.3125,21.125,2.38125,,2.572576055526733,,,,,,2.535874660198505
88.70192307692308,21.875,31.25,12.5,4.21875,,,1.1751978397369385,27,,occurrence_residual,,,-18.4375,,,,,,,,,,,93.875,48.625,67.75,22.6875,2.389375,,2.572077236175537,,,,,,2.503643274307251
89.1826923076923,21.875,28.125,12.5,4.1875,,,1.1463325023651123,28,,occurrence_residual,,,-20.0,,,,,,,,,,,93.125,49.3125,67.1875,20.625,2.275,,2.5501585578918458,,,,,,2.497207384843093
88.9423076923077,21.875,28.125,12.5,4.0625,,,1.104877233505249,29,,occurrence_residual,,,-18.75,,,,,,,,,,,94.375,49.75,67.5,23.625,2.22,,2.5288650751113892,,,,,,2.5137158173781176
88.46153846153847,21.875,28.125,12.5,4.03125,,,1.0589237213134766,30,,occurrence_residual,,,-18.4375,,,,,,,,,,,92.8125,50.25,68.6875,23.0,2.176875,,2.5318068790435793,,,,,,2.4946195895855245
88.46153846153847,21.875,28.125,12.5,4.125,,,1.053990125656128,31,,occurrence_residual,,,-19.375,,,,,,,,,,,94.5,51.0,69.0,25.0625,2.343125,,2.541501293182373,,,,,,2.501726737389198
87.74038461538461,18.75,31.25,12.5,4.125,,,1.0876059532165527,32,,occurrence_residual,,,-17.5,,,,,,,,,,,93.3125,53.4375,70.4375,25.0,2.120625,,2.4882257890701296,,,,,,2.4719773072462816
88.46153846153847,21.875,37.5,9.375,3.96875,,,1.0764093399047852,33,,occurrence_residual,,,-13.4375,,,,,,,,,,,93.3125,53.5625,70.625,25.1875,2.0625,,2.4999907922744753,,,,,,2.537561434965867
88.22115384615384,21.875,31.25,12.5,3.96875,,,1.0727651119232178,34,,occurrence_residual,,,-15.9375,,,,,,,,,,,93.125,54.5625,71.0625,25.375,2.053125,,2.4828961515426635,,,,,,2.4343679134662333
88.70192307692308,21.875,34.375,12.5,3.90625,,,1.0659291744232178,35,,occurrence_residual,,,-13.4375,,,,,,,,,,,92.875,52.875,70.1875,26.0625,2.10125,,2.4601739025115967,,,,,,2.438520284799429
89.1826923076923,25.0,34.375,12.5,3.8125,,,1.008368968963623,36,,occurrence_residual,,,-12.5,,,,,,,,,,,93.5625,55.4375,74.5,26.75,1.83625,,2.428715844154358,,,,,,2.485258799332839
