task_precision,task_recall,task_f1,time_exact_accuracy,time_close_accuracy_5m,time_close_accuracy_10m,duration_close_accuracy,start_mae_minutes,overlap_same_robot_count,predicted_tasks,true_tasks,matched_tasks,database_id,robot_id,target_week,num_alternative_schedules
69.23076923076923,100.0,81.81818181818181,51.85185185185185,51.85185185185185,51.85185185185185,100.0,185.92592592592592,0.0,39.0,27.0,27.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-07-23 00:00:00+02:00,2
85.71428571428571,88.23529411764706,86.95652173913044,73.33333333333333,73.33333333333333,73.33333333333333,100.0,148.66666666666666,0.0,35.0,34.0,30.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-07-30 00:00:00+02:00,2
84.61538461538461,94.28571428571428,89.1891891891892,39.39393939393939,39.39393939393939,39.39393939393939,100.0,458.6363636363636,1.0,39.0,35.0,33.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-08-06 00:00:00+02:00,2
100.0,83.33333333333334,90.9090909090909,40.0,43.63636363636363,47.27272727272727,100.0,266.54545454545456,1.0,55.0,66.0,55.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-08-13 00:00:00+02:00,2
89.79591836734694,97.77777777777777,93.61702127659575,45.45454545454545,50.0,50.0,100.0,542.3863636363636,0.0,49.0,45.0,44.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-08-20 00:00:00+02:00,2
86.11111111111111,100.0,92.53731343283582,54.83870967741935,54.83870967741935,54.83870967741935,100.0,252.58064516129033,0.0,36.0,31.0,31.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-08-27 00:00:00+02:00,2
80.0,100.0,88.8888888888889,53.57142857142857,53.57142857142857,53.57142857142857,100.0,267.14285714285717,1.0,35.0,28.0,28.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-09-03 00:00:00+02:00,2
91.66666666666666,88.0,89.79591836734694,52.27272727272727,56.81818181818182,61.36363636363637,100.0,222.95454545454547,0.0,48.0,50.0,44.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-09-10 00:00:00+02:00,2
100.0,84.84848484848484,91.80327868852459,32.142857142857146,33.92857142857143,33.92857142857143,100.0,220.71428571428572,1.0,56.0,66.0,56.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-09-17 00:00:00+02:00,2
89.13043478260869,93.18181818181817,91.11111111111111,26.82926829268293,26.82926829268293,26.82926829268293,100.0,413.780487804878,1.0,46.0,44.0,41.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-09-24 00:00:00+02:00,2
