task_precision,task_recall,task_f1,time_exact_accuracy,time_close_accuracy_5m,time_close_accuracy_10m,duration_close_accuracy,start_mae_minutes,overlap_same_robot_count,predicted_tasks,true_tasks,matched_tasks,database_id,robot_id,target_week,num_alternative_schedules
67.5,100.0,80.59701492537313,51.85185185185185,51.85185185185185,51.85185185185185,100.0,75.55555555555556,0.0,40.0,27.0,27.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-07-23 00:00:00+02:00,2
82.85714285714286,85.29411764705883,84.05797101449276,75.86206896551724,75.86206896551724,75.86206896551724,100.0,140.51724137931035,0.0,35.0,34.0,29.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-07-30 00:00:00+02:00,2
86.8421052631579,94.28571428571428,90.41095890410959,42.42424242424242,42.42424242424242,42.42424242424242,100.0,435.6060606060606,0.0,38.0,35.0,33.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-08-06 00:00:00+02:00,2
100.0,87.87878787878788,93.54838709677419,29.310344827586203,29.310344827586203,31.03448275862069,100.0,304.3103448275862,0.0,58.0,66.0,58.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-08-13 00:00:00+02:00,2
89.79591836734694,97.77777777777777,93.61702127659575,47.72727272727273,52.27272727272727,52.27272727272727,100.0,509.65909090909093,0.0,49.0,45.0,44.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-08-20 00:00:00+02:00,2
79.48717948717949,100.0,88.57142857142858,64.51612903225806,64.51612903225806,64.51612903225806,100.0,250.6451612903226,0.0,39.0,31.0,31.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-08-27 00:00:00+02:00,2
77.77777777777779,100.0,87.50000000000001,53.57142857142857,53.57142857142857,53.57142857142857,100.0,218.03571428571428,0.0,36.0,28.0,28.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-09-03 00:00:00+02:00,2
92.0,92.0,92.0,41.30434782608695,45.65217391304348,47.82608695652174,100.0,266.95652173913044,0.0,50.0,50.0,46.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-09-10 00:00:00+02:00,2
100.0,84.84848484848484,91.80327868852459,33.92857142857143,35.714285714285715,35.714285714285715,100.0,168.03571428571428,0.0,56.0,66.0,56.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-09-17 00:00:00+02:00,2
89.13043478260869,93.18181818181817,91.11111111111111,24.390243902439025,24.390243902439025,24.390243902439025,100.0,415.0,0.0,46.0,44.0,41.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-09-24 00:00:00+02:00,2
