task_precision,task_recall,task_f1,time_exact_accuracy,time_close_accuracy_5m,time_close_accuracy_10m,duration_close_accuracy,start_mae_minutes,overlap_same_robot_count,predicted_tasks,true_tasks,matched_tasks,database_id,robot_id,target_week
56.25,100.0,72.0,25.925925925925924,25.925925925925924,25.925925925925924,100.0,545.925925925926,0.0,48.0,27.0,27.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-07-23 00:00:00+02:00
63.04347826086957,85.29411764705883,72.5,41.37931034482759,41.37931034482759,41.37931034482759,100.0,311.55172413793105,0.0,46.0,34.0,29.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-07-30 00:00:00+02:00
91.8918918918919,97.14285714285714,94.44444444444446,8.823529411764707,11.76470588235294,11.76470588235294,100.0,1802.2058823529412,0.0,37.0,35.0,34.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-08-06 00:00:00+02:00
100.0,68.18181818181817,81.08108108108108,6.666666666666667,15.555555555555555,20.0,100.0,487.22222222222223,0.0,45.0,66.0,45.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-08-13 00:00:00+02:00
97.61904761904762,91.11111111111111,94.25287356321839,82.92682926829268,82.92682926829268,82.92682926829268,100.0,107.5609756097561,0.0,42.0,45.0,41.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-08-20 00:00:00+02:00
66.66666666666666,90.32258064516128,76.71232876712328,28.57142857142857,28.57142857142857,28.57142857142857,100.0,490.17857142857144,0.0,42.0,31.0,28.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-08-27 00:00:00+02:00
62.22222222222222,100.0,76.71232876712328,46.42857142857143,46.42857142857143,46.42857142857143,100.0,520.3571428571429,0.0,45.0,28.0,28.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-09-03 00:00:00+02:00
82.6086956521739,76.0,79.16666666666667,26.31578947368421,34.21052631578947,39.473684210526315,100.0,258.2894736842105,0.0,46.0,50.0,38.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-09-10 00:00:00+02:00
100.0,62.121212121212125,76.6355140186916,9.75609756097561,9.75609756097561,12.195121951219512,100.0,154.5121951219512,0.0,41.0,66.0,41.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-09-17 00:00:00+02:00
80.95238095238095,77.27272727272727,79.06976744186046,64.70588235294117,64.70588235294117,64.70588235294117,100.0,217.5,0.0,42.0,44.0,34.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-09-24 00:00:00+02:00
92.0,70.76923076923077,80.0,17.391304347826086,17.391304347826086,21.73913043478261,100.0,428.4782608695652,0.0,50.0,65.0,46.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-10-01 00:00:00+02:00
75.43859649122807,50.588235294117645,60.56338028169014,9.30232558139535,9.30232558139535,23.25581395348837,100.0,140.46511627906978,0.0,57.0,85.0,43.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-10-08 00:00:00+02:00
97.05882352941177,78.57142857142857,86.84210526315789,0.0,3.0303030303030303,4.545454545454546,100.0,299.8484848484849,0.0,68.0,84.0,66.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-10-15 00:00:00+02:00
98.50746268656717,78.57142857142857,87.41721854304635,3.0303030303030303,6.0606060606060606,7.575757575757576,100.0,179.24242424242425,0.0,67.0,84.0,66.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-10-22 00:00:00+02:00
72.0,93.10344827586206,81.203007518797,3.7037037037037033,3.7037037037037033,7.4074074074074066,100.0,241.4814814814815,0.0,75.0,58.0,54.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-10-29 00:00:00+01:00
100.0,94.9367088607595,97.40259740259741,1.3333333333333335,2.666666666666667,5.333333333333334,100.0,800.2,0.0,75.0,79.0,75.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-11-05 00:00:00+01:00
80.0,80.0,80.00000000000001,4.6875,6.25,10.9375,100.0,148.203125,0.0,80.0,80.0,64.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-11-12 00:00:00+01:00
