change_acc,close_acc_1,close_acc_2,count_exact_acc,count_mae,duration_mae_minutes,elapsed_sec,epoch,model,start_exact_acc,start_mae_minutes,start_tol_10m,start_tol_5m,train_change_acc,train_close_acc_1,train_close_acc_2,train_count_exact_acc,train_count_mae,train_duration_mae_minutes,train_loss,train_start_exact_acc,train_start_mae_minutes,train_start_tol_10m,train_start_tol_5m,val_loss
74.375,61.25,82.03125,26.09375,1.43125,,2.3126473426818848,1,occurrence_residual,,,,,73.14497722338324,56.30707765278751,76.25570778977381,22.95947489264893,1.7501426951525962,,2.5045035146687127,,,,,2.1497276425361633
75.15625,65.78125,83.90625,26.875,1.315625,,1.6110162734985352,2,occurrence_residual,,,,,74.9001142096846,56.763698630136986,78.01084477607517,24.443493150684933,1.6389840188091749,,2.306931549555635,,,,,2.108047902584076
75.3125,65.625,83.28125,25.9375,1.33125,,1.4514789581298828,3,occurrence_residual,,,,,75.27111874867792,58.847032017903786,78.52454340621216,25.299657534246574,1.600456621548901,,2.2744031197404206,,,,,2.0645346522331236
72.1875,65.9375,84.53125,27.34375,1.2890625,,1.518481969833374,4,occurrence_residual,,,,,75.55650684931507,57.96232876712329,78.48173518703409,24.98573060721567,1.610445205479452,,2.2324749002717947,,,,,2.0916408598423004
75.15625,60.625,81.875,24.53125,1.4453125,,1.6015350818634033,5,occurrence_residual,,,,,74.95719178082192,58.56164383561644,78.53881283982159,24.971461194018794,1.5911815068493151,,2.2200261027845616,,,,,2.055226218700409
75.46875,66.5625,83.28125,27.5,1.30625,,1.6030654907226562,6,occurrence_residual,,,,,75.91324203634915,58.31906395415737,78.16780821917808,26.612442935982795,1.5881849315068493,,2.2002419723223334,,,,,2.0923469960689545
76.40625,67.1875,85.46875,27.03125,1.2703125,,1.656358003616333,7,occurrence_residual,,,,,75.98458904109589,58.39041095890411,77.78253424657534,27.425799090160083,1.6035958904109588,,2.1657011868202525,,,,,2.023438197374344
75.9375,65.46875,83.59375,27.8125,1.315625,,1.3689074516296387,8,occurrence_residual,,,,,75.45662105899967,59.74600462064351,78.80993150684931,28.08219178082192,1.5660673526868427,,2.136879465351366,,,,,2.0065065801143644
75.15625,66.25,84.84375,26.71875,1.3015625,,1.411189317703247,9,occurrence_residual,,,,,75.79908681242433,58.647260273972606,78.2248858719656,27.52568493150685,1.590610731137942,,2.0994205262563,,,,,2.00226086974144
76.09375,68.4375,85.0,28.90625,1.25625,,1.4624152183532715,10,occurrence_residual,,,,,76.41267123287672,58.647260273972606,78.51027397260275,27.311643835616437,1.582191780821918,,2.0744656977588183,,,,,1.970108050107956
,,,,,0.00935449872129396,24.945866584777832,1,temporal_residual,8.630790283866958,807.497438916973,9.335447146612054,8.732914466873494,,,,,,0.09180410190850707,5.750591000061575,3.746529531668437,1777.5281186996838,4.260001263117201,3.7934597436825714,4.929355957928826
,,,,,0.005555882794307727,24.738821029663086,2,temporal_residual,8.242394185923283,755.844972398546,9.896805950629165,8.426217715335047,,,,,,0.03705892464238163,4.856326602794256,7.9923334185942325,860.5738895267986,9.1876735246013,8.133124054636635,4.577734509324716
,,,,,0.0041845703845253225,23.902207374572754,3,temporal_residual,11.082094878542657,632.7690653084151,12.848843244555729,11.306768081157037,,,,,,0.027273979688774097,4.571043354883632,8.952628091872791,735.4700317652403,10.559297703180212,9.154151943462898,4.317194464939092
,,,,,0.003080401849990796,25.359031915664673,4,temporal_residual,11.19394517607159,576.7749187993069,12.950481123784009,11.41861837868597,,,,,,0.022673172713339646,4.398040603411914,10.150728798586572,656.1537931327686,12.064219460997059,10.410225265017667,4.185849079119614
,,,,,0.004515910056629675,25.02482843399048,5,temporal_residual,12.000888323082643,534.8933615092359,14.155708584520552,12.225561525697023,,,,,,0.01958222047206962,4.268644189666101,10.968260980431689,599.1184416592332,13.14124810927327,11.266405856756776,4.0664614914289485
,,,,,0.0032792709466508206,24.11064887046814,6,temporal_residual,13.675724924389833,488.863269082861,15.565022310010749,14.033159564912708,,,,,,0.01714261390318989,4.165901915765904,11.28809628975265,552.8448976981766,13.640128091872791,11.619368374558304,4.032318272621803
,,,,,0.0019504971248881428,24.421106338500977,7,temporal_residual,14.227033411365708,458.0074923646216,17.198847136855903,14.778503999601003,,,,,,0.015279741280271208,4.081840578321855,11.88714664310954,514.0142092350936,14.233657243816255,12.174249116607774,3.9369333304610907
,,,,,0.004893019677480695,25.48464584350586,8,temporal_residual,14.502930806742775,439.4100062052409,17.1377347283114,14.921639957069571,,,,,,0.013389145669958458,4.026850726494941,12.063825088339222,493.80497544898583,14.573211130742049,12.403378975265017,3.8790675612056957
,,,,,0.0019503499199012356,25.731523513793945,9,temporal_residual,15.033814457117343,397.72580813738256,17.84222948979708,15.544435372150023,,,,,,0.011671529371166346,3.9737933532930514,12.922371908127209,470.26537265036217,15.572548586572438,13.239840989399294,3.838916105382583
,,,,,0.0040616347299267845,25.534823179244995,10,temporal_residual,14.931366066722308,385.6843212850733,18.29125168763734,15.401137308552375,,,,,,0.010048043856548653,3.9263639698601445,13.392068400926387,451.8964341167005,16.205909269016118,13.786834301986458,3.795776258107104
