epoch,train_active_f1,train_active_precision,train_active_recall,train_count_mae,train_day_acc,train_duration_mae_minutes,train_loss,train_loss_active,train_loss_count,train_loss_day,train_loss_duration,train_loss_time,train_loss_week_time,train_start_mae_minutes,train_start_tol_5m,val_active_f1,val_active_precision,val_active_recall,val_count_mae,val_day_acc,val_duration_mae_minutes,val_loss,val_loss_active,val_loss_count,val_loss_day,val_loss_duration,val_loss_time,val_loss_week_time,val_monitor_score,val_start_mae_minutes,val_start_tol_5m
1,55.65095319673963,49.93379019700115,67.22930256603325,6.523358921209971,15.739522501826286,19.998324066400528,14.67227021853129,1.7985950609048207,6.523358921209971,1.9131491233905156,0.8285655562455455,5.523015161355336,7.44796101252238,3071.057726542155,0.4231789692615469,57.24601938367825,49.10002933971108,79.43101286332191,6.66647127696446,19.564786553382874,19.33444278580802,13.787605694362096,1.6408563341413225,6.66647127696446,1.8348098652703422,0.23699243366718292,5.12055322102138,6.979177611214774,-55.5116237316099,2114.0567670549667,0.6204529532364437
2,62.11742759989644,57.610460273088506,69.155212473898,6.227010786533356,18.40562094002962,27.728198170661926,13.035856366157532,1.6962714592615764,6.227010786533356,1.862085943420728,0.3085303008556366,4.753588338692983,6.479408423105876,2572.6458168029785,1.0650849202647805,67.40058709459697,64.78017263628368,72.33352852330448,5.934467656271798,21.30163460969925,14.385828801563807,12.201009477887835,1.67116117477417,5.934467656271798,1.7757219587053572,0.19686437930379594,4.379943098340716,5.985232148851667,-58.078402234314225,2385.322047642299,0.9974771528504789
3,67.24242066040509,67.27976711547849,69.74331999044558,6.07737918694814,19.790315131346386,13.10133988658587,12.001196106274923,1.5768377929925919,6.07737918694814,1.7328262676795323,0.1415100839609901,4.365639865398407,5.8743999401728315,2500.976276397705,1.8736782250925899,62.272889712737715,64.36384671157897,67.91609519209621,7.14487498147147,17.125108518770762,12.47738412448338,11.948577744620186,1.4935481207711356,7.14487498147147,1.6200920683997018,0.1213231235742569,4.176139456885202,5.642343248639788,-76.1147229633867,2845.081024169922,1.8380133701222283
4,70.49408815111441,68.73148565563353,73.13088720587962,6.020758350690206,23.251474400361378,12.541154523690542,11.460237503051758,1.4129288345575333,6.020758350690206,1.6214898079633713,0.12883883093794188,4.21795129776001,5.621989210446675,2173.8950475056968,2.7926890489955745,70.31803443388755,73.10241061564552,67.94531914819792,5.594154357910156,25.85361706359046,12.942469460623604,11.143305369785853,1.557037455695016,5.594154357910156,1.5307666233607702,0.13275591603347234,4.056297506604876,5.403624466487339,-39.871485854900016,1894.1964503696986,4.551903105207852
5,70.69236455098448,71.51868662530704,70.61933892688907,5.630804141362508,24.29221998900175,11.966708799203237,11.181106885274252,1.5014396955569584,5.630804141362508,1.591100702683131,0.11442580539733171,4.138059139251709,5.4501402378082275,2154.9919637044272,3.06910234503448,70.8188931947068,68.84885148022978,74.12816114189877,6.867378166743687,26.814862659999303,10.628592371940613,11.120753288269043,1.3017798491886683,6.867378166743687,1.4781872544969832,0.08834203864846911,4.005514962332589,5.250818116324289,-41.028008265402576,1864.3246895926338,4.856627115181515
6,71.19919791226702,70.70962159249423,72.24303622659205,5.761901497840881,27.888901034990948,11.558450584610304,10.910968462626139,1.412848671277364,5.761901497840881,1.537399838368098,0.10614796758939822,4.056963344415029,5.28445980946223,1915.2783584594727,3.7568821338936687,70.01990285099664,71.24545526953229,70.55225207181766,5.841385500771659,30.147204654557363,11.039752449308123,10.818822860717773,1.518183674131121,5.841385500771659,1.4794084514890398,0.09365524138723101,3.924650396619524,5.130509172167097,-37.229461140417996,1813.7556675502233,5.417945847979614
7,71.69062086138436,72.42626343083734,71.66652402961044,5.184842795133591,28.03362167129914,10.826799298326174,10.63119912147522,1.4996144473552704,5.184842795133591,1.5007742295662563,0.09107029717415571,4.0070711970329285,5.164255281289418,1921.6271909077961,3.96727262220035,72.62411052929302,65.67667576544338,81.904145115528,6.434285981314523,29.41735088825226,9.138871261051722,10.545660836356026,1.1733664444514684,6.434285981314523,1.401823776108878,0.06249391979404858,3.9113056659698486,5.037641116550991,-38.96514266378823,1874.1977800641741,6.3603785421167105
8,71.76672396106513,70.33127283810079,74.37926698876745,5.40242753426234,30.65633699297905,9.975630169113478,10.483641505241394,1.4115233744184177,5.40242753426234,1.4227148791154225,0.08163908791417877,3.9672239621480307,5.072460651397705,1705.343672434489,4.45676544525971,69.04976707168711,77.26006632064953,63.11446818397086,5.004034451075962,33.811948554856436,8.821993129593986,10.391183171953474,1.6987212896347046,5.004034451075962,1.3183902842657906,0.06290162195052419,3.879129614148821,4.9074713843209405,-30.810169733727527,1669.3235342843193,6.200261493878705
9,72.53874436706889,73.31537134142651,72.40641703850906,4.986574590206146,32.26712433000406,8.76834566394488,10.203426361083984,1.4355989495913188,4.986574590206146,1.3653615017731984,0.061898276985933386,3.9432019790013633,4.957028190294902,1626.618766784668,5.43032029333214,72.73205882055497,68.76263047523898,78.51401682965128,5.647914409637451,33.2367262669972,6.78345399243491,10.110298020499092,1.3393619571413313,5.647914409637451,1.2578062159674508,0.03728271169321878,3.8270881516592845,4.808108397892544,-33.27690429649155,1761.6512625558037,6.936405386243548
10,73.51044804584262,69.43122024460676,78.9534285241699,5.24874472618103,34.69325018425783,9.251632889111837,10.016693274180094,1.3117745121320088,5.24874472618103,1.2850575198729832,0.06508843942234914,3.9041682382424674,4.847495853900909,1522.6578203837078,5.963114369660616,72.73889055329589,63.34755470173296,85.70493427549069,6.195892810821533,37.25657377924238,5.72861237185342,9.970143726893834,1.1769976956503732,6.195892810821533,1.165087171963283,0.029347056256873266,3.7979794570377896,4.688417162214007,-20.8162446440385,1336.0908617292132,7.886938218559537
