task_precision,task_recall,task_f1,time_exact_accuracy,time_close_accuracy_5m,time_close_accuracy_10m,duration_close_accuracy,start_mae_minutes,overlap_same_robot_count,predicted_tasks,true_tasks,matched_tasks,database_id,robot_id,target_week
93.93939393939394,100.0,96.875,61.29032258064516,61.29032258064516,61.29032258064516,70.96774193548387,297.741935483871,1.0,33.0,31.0,31.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2030-07-22 00:00:00+02:00
86.11111111111111,93.93939393939394,89.85507246376812,70.96774193548387,70.96774193548387,70.96774193548387,77.41935483870968,183.8709677419355,1.0,36.0,33.0,31.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2030-07-29 00:00:00+02:00
84.84848484848484,96.55172413793103,90.32258064516128,57.14285714285714,57.14285714285714,57.14285714285714,71.42857142857143,283.57142857142856,2.0,33.0,29.0,28.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2030-08-05 00:00:00+02:00
80.76923076923077,100.0,89.36170212765957,60.317460317460316,60.317460317460316,63.49206349206349,87.3015873015873,117.53968253968254,9.0,78.0,63.0,63.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2030-08-12 00:00:00+02:00
94.23076923076923,94.23076923076923,94.23076923076923,77.55102040816327,77.55102040816327,79.59183673469387,69.38775510204081,117.55102040816327,1.0,52.0,52.0,49.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2030-08-19 00:00:00+02:00
91.42857142857143,96.96969696969697,94.11764705882354,81.25,81.25,81.25,84.375,247.8125,0.0,35.0,33.0,32.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2030-08-26 00:00:00+02:00
75.0,93.10344827586206,83.07692307692308,81.48148148148148,81.48148148148148,81.48148148148148,81.48148148148148,87.96296296296296,0.0,36.0,29.0,27.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2030-09-02 00:00:00+02:00
91.48936170212765,93.47826086956522,92.4731182795699,76.74418604651163,76.74418604651163,76.74418604651163,90.69767441860465,341.3953488372093,2.0,47.0,46.0,43.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2030-09-09 00:00:00+02:00
91.8918918918919,97.14285714285714,94.44444444444446,70.58823529411765,72.05882352941177,72.05882352941177,85.29411764705883,97.72058823529412,4.0,74.0,70.0,68.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2030-09-16 00:00:00+02:00
78.72340425531915,100.0,88.0952380952381,86.48648648648648,86.48648648648648,86.48648648648648,83.78378378378379,88.10810810810811,2.0,47.0,37.0,37.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2030-09-23 00:00:00+02:00
95.91836734693877,85.45454545454545,90.38461538461537,36.17021276595745,36.17021276595745,36.17021276595745,76.59574468085107,443.29787234042556,1.0,49.0,55.0,47.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2030-09-30 00:00:00+02:00
92.22222222222223,100.0,95.95375722543353,49.39759036144578,50.602409638554214,54.21686746987952,91.56626506024097,256.56626506024094,4.0,90.0,83.0,83.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2030-10-07 00:00:00+02:00
