candidate_oracle_10m,candidate_oracle_5m,change_acc,close_acc_1,close_acc_2,count_exact_acc,count_mae,duration_mae_minutes,elapsed_sec,epoch,expected_count_mae,model,selection_score,start_exact_acc,start_mae_minutes,start_tol_10m,start_tol_5m,train_candidate_oracle_10m,train_candidate_oracle_5m,train_change_acc,train_close_acc_1,train_close_acc_2,train_count_exact_acc,train_count_mae,train_duration_mae_minutes,train_expected_count_mae,train_loss,train_start_exact_acc,train_start_mae_minutes,train_start_tol_10m,train_start_tol_5m,val_loss
,,94.71153846153847,18.028846153846153,32.21153846153846,5.048076923076923,5.21875,,1.6447241306304932,1,3.8495010412656345,occurrence_residual,-36.31867724198562,,,,,,,92.375,16.9375,26.5,5.625,6.55,,4.921786613464356,3.903622612953186,,,,,3.541306440646832
,,94.71153846153847,21.39423076923077,35.57692307692308,7.6923076923076925,4.480769230769231,,0.851768970489502,2,3.078729565326984,occurrence_residual,-23.509629799769478,,,,,,,94.5,21.4375,34.625,7.125,4.8675,,3.9660459852218626,3.573624014854431,,,,,3.2613022510822
,,94.71153846153847,25.240384615384617,40.38461538461539,9.375,3.7403846153846154,,0.7685971260070801,3,2.8592552955334005,occurrence_residual,-13.679809643672066,,,,,,,94.5,23.5625,38.0,8.5,4.343125,,3.4939832401275637,3.380290222167969,,,,,3.1161637673011193
,,94.71153846153847,33.41346153846154,50.24038461538461,12.259615384615385,3.2524038461538463,,0.8865625858306885,4,2.6557222513052134,occurrence_residual,-3.2166390052208538,,,,,,,94.5,26.0,40.4375,9.5,4.149375,,3.356452488899231,3.276281409263611,,,,,2.9997748961815467
,,94.71153846153847,33.65384615384615,50.96153846153846,13.461538461538462,3.0625,,0.7777247428894043,5,2.5966019447033224,occurrence_residual,-0.17486931727482968,,,,,,,94.5,27.1875,44.5625,10.5,3.86375,,3.1144682264328,3.185182800292969,,,,,2.9295850350306583
,,94.71153846153847,34.375,52.64423076923077,12.259615384615385,2.9423076923076925,,0.8212456703186035,6,2.512144391353314,occurrence_residual,0.17498012689443776,,,,,,,94.5,32.0,48.5625,12.25,3.51875,,3.035312924385071,3.1166759729385376,,,,,2.861790491984441
,,94.71153846153847,36.77884615384615,54.80769230769231,16.346153846153847,2.7908653846153846,,0.8143017292022705,7,2.249115677980276,occurrence_residual,7.366518057309666,,,,,,,94.4375,33.0,48.5,12.0625,3.40625,,2.9533179426193237,3.0401336622238158,,,,,2.7766305666703444
,,94.47115384615384,38.94230769230769,55.52884615384615,14.663461538461538,2.735576923076923,,0.8384706974029541,8,2.1651401336376486,occurrence_residual,7.1952086962186375,,,,,,,94.3125,35.6875,53.5625,14.0625,3.175,,2.8037001991271975,2.960612587928772,,,,,2.719366953923152
,,94.71153846153847,38.46153846153846,56.97115384615385,16.346153846153847,2.6899038461538463,,0.7751386165618896,9,2.1778118977179894,occurrence_residual,9.048367793743425,,,,,,,94.4375,35.1875,53.3125,12.5,3.183125,,2.749577589035034,2.9244183778762816,,,,,2.7005777725806603
,,94.47115384615384,40.38461538461539,60.09615384615385,16.58653846153846,2.5,,0.7818667888641357,10,2.1661641047551083,occurrence_residual,11.503612811748798,,,,,,,94.625,38.4375,56.0625,16.3125,2.95125,,2.5121618056297303,2.793237109184265,,,,,2.634333225396963
,,94.47115384615384,43.99038461538461,62.74038461538461,16.10576923076923,2.3028846153846154,,0.7793655395507812,11,1.9694263018094575,occurrence_residual,14.648737100454476,,,,,,,94.5625,38.8125,56.125,17.125,2.81875,,2.526782579421997,2.7823066186904906,,,,,2.5564097991356483
,,94.47115384615384,41.82692307692308,62.25961538461539,16.58653846153846,2.358173076923077,,0.7572636604309082,12,2.1473050025793223,occurrence_residual,13.218472297375016,,,,,,,94.1875,40.0625,58.5625,16.875,2.701875,,2.412900631427765,2.7197236680984496,,,,,2.5609719386467567
,,94.71153846153847,45.19230769230769,63.46153846153846,17.307692307692307,2.2596153846153846,,0.7738542556762695,13,1.9192306536894579,occurrence_residual,16.84230815447294,,,,,,,94.0,41.75,59.8125,16.875,2.6825,,2.415700891017914,2.7043508815765382,,,,,2.5149572629194994
,,94.71153846153847,42.54807692307692,63.22115384615385,17.067307692307693,2.293269230769231,,0.778531551361084,14,1.8343287247877855,occurrence_residual,15.746819716233471,,,,,,,94.375,41.0625,61.75,17.1875,2.581875,,2.3167257595062254,2.6383213090896604,,,,,2.4590473908644457
,,94.47115384615384,46.39423076923077,67.3076923076923,19.23076923076923,2.0889423076923075,,0.78946852684021,15,1.815637863599337,occurrence_residual,20.941775468679577,,,,,,,94.6875,43.875,62.8125,19.9375,2.494375,,2.2784664821624756,2.5927657794952395,,,,,2.412932276725769
,,94.71153846153847,51.20192307692308,68.99038461538461,21.39423076923077,2.0048076923076925,,0.758253812789917,16,1.7136124464181752,occurrence_residual,25.893146368173454,,,,,,,94.3125,45.375,61.5625,21.0625,2.44375,,2.254566695690155,2.5541657161712648,,,,,2.3725776855762186
,,94.71153846153847,52.88461538461539,70.4326923076923,22.35576923076923,1.8942307692307692,,0.7868301868438721,17,1.6830886052205012,occurrence_residual,28.450337886810303,,,,,,,94.375,44.5,63.3125,20.375,2.434375,,2.2097117638587953,2.54276282787323,,,,,2.3454461647914004
,,94.71153846153847,53.60576923076923,72.35576923076923,23.076923076923077,1.8197115384615385,,0.8133194446563721,18,1.6428140493539662,occurrence_residual,30.181147648737984,,,,,,,94.5625,46.375,66.625,20.9375,2.226875,,2.0790068817138674,2.457654585838318,,,,,2.310939825498141
,,94.47115384615384,53.60576923076923,70.1923076923077,23.076923076923077,1.90625,,0.7955174446105957,19,1.6707015129236074,occurrence_residual,29.353251640613266,,,,,,,94.5,48.375,66.75,23.3125,2.12,,1.9866956329345704,2.4122312259674072,,,,,2.3153943098508396
,,94.95192307692308,56.25,73.3173076923077,22.115384615384617,1.8028846153846154,,0.8183703422546387,20,1.5682193224246685,occurrence_residual,30.602122710301323,,,,,,,94.4375,48.1875,66.5,21.125,2.17375,,1.985115921497345,2.3973878955841066,,,,,2.2301051158171434
,,94.71153846153847,55.28846153846154,75.24038461538461,24.51923076923077,1.6995192307692308,,0.7706706523895264,21,1.4819971414712758,occurrence_residual,33.817203741807205,,,,,,,94.6875,48.9375,68.625,23.0,2.07125,,1.9654949498176575,2.3608540153503417,,,,,2.19767151429103
,,94.95192307692308,56.25,75.0,23.557692307692307,1.6706730769230769,,0.9677751064300537,22,1.462609731234037,occurrence_residual,33.52456107506385,,,,,,,94.5625,49.25,69.5,23.125,2.0225,,1.8895515775680543,2.316615083217621,,,,,2.1864287578142605
,,94.95192307692308,58.41346153846154,78.125,22.83653846153846,1.5817307692307692,,0.7550318241119385,23,1.4841224321952233,occurrence_residual,34.18610642506526,,,,,,,94.375,50.125,69.3125,24.0625,1.9675,,1.794948432445526,2.2684780883789064,,,,,2.172874982540424
,,94.71153846153847,59.375,77.88461538461539,23.557692307692307,1.5889423076923077,,0.7451193332672119,24,1.4503162457392766,occurrence_residual,35.297292709350586,,,,,,,94.6875,53.0625,72.5625,25.1875,1.850625,,1.7596524548530579,2.2352963972091673,,,,,2.1208889209307156
,,94.47115384615384,56.25,75.72115384615384,23.798076923076923,1.6778846153846154,,0.7746295928955078,25,1.4622664955946116,occurrence_residual,33.66054940223694,,,,,,,94.875,51.6875,71.875,24.3125,1.88375,,1.7192157125473022,2.183842294216156,,,,,2.151124202288114
,,95.1923076923077,59.61538461538461,79.08653846153847,24.759615384615383,1.5384615384615385,,0.8386290073394775,26,1.4004571437835693,occurrence_residual,37.23470988640419,,,,,,,95.125,53.4375,72.875,27.375,1.81125,,1.7305872869491576,2.192754156589508,,,,,2.093371400466332
,,94.47115384615384,59.85576923076923,79.8076923076923,25.96153846153846,1.4879807692307692,,0.7467236518859863,27,1.4121323915628285,occurrence_residual,38.805797356825614,,,,,,,94.9375,55.9375,73.3125,27.875,1.753125,,1.680916428565979,2.136637263298035,,,,,2.111327281365028
,,94.47115384615384,59.375,79.32692307692308,28.125,1.4975961538461537,,0.6720411777496338,28,1.4196474093657274,occurrence_residual,40.69400651638325,,,,,,,94.5,56.625,75.125,26.8125,1.716875,,1.6548360514640807,2.1434138298034666,,,,,2.0867640513640184
,,94.71153846153847,61.29807692307692,80.28846153846153,27.16346153846154,1.4615384615384615,,0.7402923107147217,29,1.402128586402306,occurrence_residual,40.78812026977539,,,,,,,94.6875,56.625,75.9375,27.4375,1.653125,,1.6167202186584473,2.1102689027786257,,,,,2.0802045510365414
,,94.71153846153847,62.25961538461539,81.49038461538461,26.923076923076923,1.4350961538461537,,0.7853198051452637,30,1.370503645676833,occurrence_residual,41.2223123403696,,,,,,,95.0625,54.125,74.4375,26.875,1.7625,,1.6638697600364685,2.1083938837051392,,,,,2.0550545820823083
,,94.95192307692308,61.53846153846154,81.97115384615384,27.16346153846154,1.4254807692307692,,0.6581003665924072,31,1.3400443884042592,occurrence_residual,41.4330916771522,,,,,,,94.8125,55.9375,76.8125,28.25,1.629375,,1.5763139295578004,2.046127209663391,,,,,2.0217845623309794
