epoch,train_active_f1,train_active_precision,train_active_recall,train_count_mae,train_day_acc,train_duration_mae_minutes,train_loss,train_loss_active,train_loss_count,train_loss_day,train_loss_duration,train_loss_time,train_start_mae_minutes,train_start_tol_5m,val_active_f1,val_active_precision,val_active_recall,val_count_mae,val_day_acc,val_duration_mae_minutes,val_loss,val_loss_active,val_loss_count,val_loss_day,val_loss_duration,val_loss_time,val_start_mae_minutes,val_start_tol_5m
1,89.84742489250519,82.739140070922,98.93602693602693,7.998569211959839,25.955684900283813,15.95472846031189,9.697051448822021,0.8376173549890518,7.998569211959839,1.7257620620727538,0.32221544429659843,4.787458410263062,2226.848046875,1.3370639174245298,90.49248058601736,83.15304487179486,100.0,7.801641574272742,31.513968110084534,12.674345557506268,8.640467570378231,0.6693425659949963,7.801641574272742,1.6039801010718713,0.1534935740324167,4.087065641696636,1625.6370661808894,2.290567533614544
2,90.55088689434649,83.09329346082897,99.88565914837208,7.661982946395874,37.80839055776596,10.475277030467987,8.476952562332153,0.6569319987297058,7.661982946395874,1.5162565612792969,0.09161252714693546,4.058624601364135,1559.8660827636718,3.152139335870743,90.49248058601736,83.15304487179486,100.0,7.509064454298753,55.345218456708466,8.39109860933744,7.871144074660081,0.5487933869545276,7.509064454298753,1.1909456161352305,0.054565222504047245,3.8496032494765062,1172.8511692927434,7.224234365499937
3,90.92932483246157,84.2561756029359,99.05808300574166,7.437168188095093,56.92445236444473,9.66252088546753,7.882421522140503,0.6156409025192261,7.437168188095093,1.1639588832855225,0.07649296551942825,3.8337020540237425,1093.6043746948242,7.260350935161114,91.34770950879111,88.53353185010818,95.2371328175534,7.201967807916494,60.35307049751282,7.5460921342556295,7.580237865447998,0.6724711668032867,7.201967807916494,1.078347935126378,0.04142290611679737,3.623949802838839,1044.509776188777,8.786873490764545
4,91.12893527137996,85.03425462739027,98.52781585841922,7.368326320648193,60.58201825618744,7.463976597785949,7.612842750549317,0.6087852883338928,7.368326320648193,1.0870916032791138,0.044965300783514975,3.6551861143112183,1026.906901550293,8.951187394559383,91.84905741944486,86.13620069258617,98.61049530847949,7.184836130875808,63.32065417216374,5.027848940629226,7.217197124774639,0.5130583953398925,7.184836130875808,1.030102945291079,0.02077044346011602,3.4642199919773984,977.3004795954778,10.298209637403488
5,92.02923209971986,86.47898144750455,98.61908720600216,7.218665704727173,63.215583086013794,7.020204246044159,7.320504884719849,0.5714142125844955,7.218665704727173,1.0443141400814056,0.03813834194093943,3.483910164833069,986.7231750488281,10.581756755709648,91.71144452873601,89.47603810100962,94.74864146944448,7.053803517268254,67.72483449715834,3.7568920736129465,7.085844956911528,0.6395001594836895,7.053803517268254,0.9537595739731421,0.01149495762701218,3.307582983603844,918.2723529522235,12.39431517628523
6,92.12020438046983,86.96160898243176,98.21722680839716,7.13386869430542,65.36406564712524,6.088420271873474,7.112274866104126,0.5738273191452027,7.13386869430542,0.9930827832221985,0.030117036662995814,3.3404121589660645,945.2490097045899,12.969032853841782,93.40558797221193,89.0357307587771,98.34699573090656,6.879419620220478,68.06796147273137,3.2354788138316226,6.703682642716628,0.4755965517117427,6.879419620220478,0.9223874578109155,0.010073967421284089,3.172603277059702,951.5959402231069,13.873409479856491
7,92.51613569814953,87.77601855894092,98.07868241486962,7.0559350204467775,66.07733070850372,6.420621287822724,6.9249562072753905,0.5446608573198318,7.0559350204467775,0.9672559082508088,0.03170497089624405,3.2272979974746705,934.6373352050781,14.453948020935059,93.83263248860077,89.43968714409954,98.86082997189632,6.80024581689101,68.03935628670912,3.2520651817321777,6.533462707812969,0.43208657892850727,6.80024581689101,0.904257962336907,0.01165602166348925,3.0859783612764797,928.1881655179537,16.676874458789825
8,93.271542286532,89.28310228685417,97.8007614668595,6.974616861343383,66.25523293018341,5.445374852418899,6.782150993347168,0.5346747970581055,6.974616861343383,0.95772301197052,0.023456887602806092,3.1312629175186157,901.2922607421875,16.20764611661434,92.9906684275397,87.72167645558021,99.17741086582251,6.982544972346379,68.8371167733119,4.041408873521364,6.492043201739971,0.4422979469482715,6.982544972346379,0.8826822225864117,0.015618103914535962,2.9848533410292406,914.1857205904447,18.689333017055805
9,93.50575745248476,89.39603826458487,98.16873678880133,6.840458421707154,66.87611317634583,5.2628962099552155,6.616483335494995,0.5050175170600414,6.840458421707154,0.926831282377243,0.022957225888967515,3.063932113647461,905.3795120239258,16.932415395975113,94.23054387289677,92.2353751804129,96.45893593120113,6.6101520244891825,68.77899536719688,4.616234096196981,6.348411670097938,0.5251196668698237,6.6101520244891825,0.8694721506192133,0.01662442833185196,2.8977834628178525,822.3343658447266,20.564579963684082
10,94.04824409855127,90.4585174688635,98.04457703183849,6.756315011978149,67.68323945999146,4.9895431220531465,6.480468082427978,0.4820293748378754,6.756315011978149,0.9127999913692474,0.020561626926064492,2.9906562042236327,872.214274597168,17.821110725402832,94.18741090904608,90.86554596284476,98.01224831891123,6.673331279021043,69.65041298132677,2.9673089430882382,6.200831926785982,0.4448221383186487,6.673331279021043,0.8472690903223478,0.00915308934278213,2.8254249279315653,822.0774547870343,21.430416519825275
