change_acc,close_acc_1,close_acc_2,count_exact_acc,count_mae,duration_mae_minutes,elapsed_sec,epoch,model,start_exact_acc,start_mae_minutes,start_tol_10m,start_tol_5m,train_change_acc,train_close_acc_1,train_close_acc_2,train_count_exact_acc,train_count_mae,train_duration_mae_minutes,train_loss,train_start_exact_acc,train_start_mae_minutes,train_start_tol_10m,train_start_tol_5m,val_loss
73.28125,65.78125,84.84375,26.71875,1.296875,,1.453052282333374,1,occurrence_residual,,,,,72.80251146995857,51.22716900420515,72.38869863013699,20.50513698630137,1.9560502293991715,,2.606032319264869,,,,,2.1540335178375245
75.625,63.59375,83.28125,26.40625,1.35625,,0.9256267547607422,2,occurrence_residual,,,,,74.15810505004778,58.06221463908888,77.85388133297228,23.373287671232877,1.6529680376183498,,2.3784315406459653,,,,,2.1264654278755186
74.21875,65.78125,84.84375,26.71875,1.296875,,0.9022371768951416,3,occurrence_residual,,,,,74.51484023708187,57.49143835616438,77.71118724182861,24.900114168859506,1.6278538818228734,,2.323248134900446,,,,,2.115272694826126
75.46875,65.9375,84.84375,26.875,1.290625,,0.9141438007354736,4,occurrence_residual,,,,,75.08561643835617,57.97659820073272,78.0251142096846,25.171232876712327,1.6135844759745142,,2.3126555517928242,,,,,2.1062531411647796
75.625,65.78125,84.84375,26.71875,1.296875,,0.9434201717376709,5,occurrence_residual,,,,,75.04280821917808,57.87671232876713,77.29737448365721,24.743150684931507,1.626569635247531,,2.285682203018502,,,,,2.0751392006874085
72.8125,66.25,84.0625,27.96875,1.28125,,0.9430439472198486,6,occurrence_residual,,,,,75.05707765278751,57.89098176237655,77.34018270283529,25.34246575342466,1.613441780821918,,2.261251882331012,,,,,2.0635308980941773
74.84375,65.9375,84.84375,26.71875,1.290625,,0.9029738903045654,7,occurrence_residual,,,,,74.95719178082192,59.46061643835616,79.03824203634915,25.256849315068493,1.574914383561644,,2.249162742536362,,,,,2.0519417941570284
74.53125,66.25,84.6875,29.21875,1.2703125,,0.91910719871521,8,occurrence_residual,,,,,75.67066215489008,59.46061643835616,78.32477174393118,25.542237446324467,1.588042239620261,,2.2367363041394377,,,,,2.0382222294807435
75.15625,66.09375,84.375,27.8125,1.296875,,0.9107778072357178,9,occurrence_residual,,,,,75.32819640146543,59.73173518703408,78.82420094045874,26.398401840092383,1.5732020547945205,,2.210671710641417,,,,,2.022352230548859
74.84375,65.9375,84.6875,27.03125,1.2953125,,0.9376165866851807,10,occurrence_residual,,,,,75.29965753424658,58.71860736036954,78.0251142096846,25.44235162539025,1.6113013698630136,,2.2012400251545317,,,,,2.031013935804367
75.9375,65.78125,85.0,26.09375,1.315625,,0.9236710071563721,11,occurrence_residual,,,,,75.85616438356165,59.061073113794194,78.31050231032175,26.541095890410958,1.587043380084103,,2.185014687172354,,,,,2.020229643583298
75.78125,65.625,85.46875,27.65625,1.2828125,,0.9192812442779541,12,occurrence_residual,,,,,75.49942927817776,59.63184931506849,79.05251146995857,26.541095890410958,1.5707762567964318,,2.1577034404833024,,,,,2.0079066276550295
75.3125,64.53125,85.46875,27.65625,1.3125,,0.8490920066833496,13,occurrence_residual,,,,,75.99885847470532,59.83162105899967,79.52340188091749,26.170091351417646,1.5633561643835616,,2.1454459690067864,,,,,2.0254507958889008
75.3125,65.9375,85.15625,27.8125,1.2921875,,0.9205138683319092,14,occurrence_residual,,,,,75.55650684931507,60.18835616438356,79.22374434667091,27.311643835616437,1.540667808219178,,2.1273119237324964,,,,,1.963839066028595
75.9375,68.125,85.3125,27.65625,1.2625,,0.9371075630187988,15,occurrence_residual,,,,,76.12728313223957,59.902968063746414,79.05251146995857,26.56963470659844,1.5637842465753424,,2.107435082736081,,,,,1.9684823870658874
75.9375,68.125,86.25,28.4375,1.259375,,0.9679093360900879,16,occurrence_residual,,,,,76.55536532402039,61.15867581269512,79.62328767123287,27.41152968716948,1.528110732770946,,2.088539817561842,,,,,1.940374618768692
75.3125,67.65625,85.625,28.4375,1.2609375,,0.9162390232086182,17,occurrence_residual,,,,,76.45547945205479,60.930365324020386,80.27968039251354,27.3687214679914,1.5154109589041096,,2.0731667819088453,,,,,1.9304573833942413
75.0,67.34375,83.75,27.96875,1.2890625,,0.7767148017883301,18,occurrence_residual,,,,,76.69805941516405,63.31335616438356,81.19292242886269,29.751712328767123,1.4367865299525326,,2.0245446701572365,,,,,1.9397149682044983
75.0,67.5,85.625,29.6875,1.24375,,0.7808554172515869,19,occurrence_residual,,,,,77.02625573497929,62.24315068493151,79.90867585352022,29.666095890410958,1.4770262559799299,,2.00375398544416,,,,,1.9388837456703185
75.625,69.21875,87.5,29.53125,1.2109375,,0.7853965759277344,20,occurrence_residual,,,,,77.48287671232876,62.67123287671233,79.72317354319847,29.723173522785917,1.4643264861956036,,1.9938475089530423,,,,,1.926082229614258
74.53125,67.1875,87.03125,28.59375,1.2578125,,0.77591872215271,21,occurrence_residual,,,,,76.89783107744505,62.61415530557502,80.00856164383562,29.195205479452056,1.493721461459382,,1.9838238513632998,,,,,1.932581651210785
75.625,67.96875,85.78125,30.625,1.2375,,0.7818033695220947,22,occurrence_residual,,,,,77.63984023708187,62.57134708639693,80.42237448365721,31.19292242886269,1.4430650684931507,,1.9513497532230535,,,,,1.8928029000759126
75.625,70.15625,87.1875,29.0625,1.20625,,0.7826080322265625,23,occurrence_residual,,,,,77.1832191780822,64.41210051105448,81.0930365568971,32.94805937433896,1.3948344751580122,,1.9356933930148816,,,,,1.8754403948783875
75.0,68.28125,86.09375,29.0625,1.2421875,,0.9810686111450195,24,occurrence_residual,,,,,77.5542237987257,63.784246575342465,81.05022833771902,32.4486301369863,1.4180936078502708,,1.9174063026088557,,,,,1.8884576380252838
75.78125,70.78125,87.03125,29.53125,1.1984375,,1.0106947422027588,25,occurrence_residual,,,,,78.21061643835617,63.64155256584899,81.03595890410959,33.946917808219176,1.392694064199108,,1.8772562742233276,,,,,1.8880611121654511
75.3125,70.15625,87.5,31.5625,1.1890625,,1.0023624897003174,26,occurrence_residual,,,,,77.6541095890411,65.1541095890411,82.46289957059572,34.24657534246575,1.3470319640146542,,1.863758923256234,,,,,1.8746590316295624
74.6875,71.40625,87.03125,31.40625,1.1609375,,0.999945878982544,27,occurrence_residual,,,,,77.85388133297228,64.88299088118828,82.00627859324625,35.23116438356164,1.3374714622758839,,1.8497640172096148,,,,,1.8543514549732207
75.15625,72.34375,89.53125,32.96875,1.11875,,0.9752376079559326,28,occurrence_residual,,,,,78.08219178082192,66.36700915963682,83.19063929662313,34.988584502102576,1.315639270495062,,1.8202730384591508,,,,,1.832037663459778
75.0,72.5,88.4375,32.96875,1.13125,,0.9725306034088135,29,occurrence_residual,,,,,77.92522833771902,67.35159820073271,83.83276258429436,35.345319648311566,1.2903824211799935,,1.8020588665792387,,,,,1.846278154850006
74.53125,72.5,87.65625,31.5625,1.1515625,,0.9731860160827637,30,occurrence_residual,,,,,79.29509135141764,68.1792237987257,84.30365299525326,36.25856164383562,1.28638698630137,,1.778562026481106,,,,,1.8476155936717986
74.53125,73.4375,88.4375,32.65625,1.1078125,,0.952538013458252,31,occurrence_residual,,,,,78.99543381717108,67.6084475158012,83.67579914119146,37.057648405228576,1.2440068493150684,,1.7591623067855835,,,,,1.8039940893650055
75.625,75.9375,90.625,34.375,1.0453125,,0.9781303405761719,32,occurrence_residual,,,,,79.65182653845173,69.87728313223957,85.03139272128065,37.95662105899967,1.213042237987257,,1.7365277630009064,,,,,1.7874466001987457
73.90625,74.21875,89.375,34.6875,1.0640625,,0.9410655498504639,33,occurrence_residual,,,,,80.5222602739726,68.89269409114367,84.48915530557503,37.69977170310608,1.2285958904109588,,1.7342074015369153,,,,,1.7959465086460114
73.59375,72.34375,89.0625,33.28125,1.1078125,,0.9077627658843994,34,occurrence_residual,,,,,80.59360736036953,70.39098176237655,85.24543381717108,40.88184931506849,1.1499714622758839,,1.6835512984288883,,,,,1.8114485621452332
75.9375,74.0625,90.46875,34.21875,1.0734375,,0.9065060615539551,35,occurrence_residual,,,,,80.16552516858872,69.39212328767124,85.5736301369863,40.79623287671233,1.1565353886721885,,1.6544105141130212,,,,,1.7934392631053924
