change_acc,close_acc_1,close_acc_2,count_exact_acc,count_mae,duration_close_accuracy,duration_mae_minutes,elapsed_sec,epoch,matched_tasks,model,overlap_same_robot_count,predicted_tasks,selector_score,start_exact_acc,start_mae_minutes,start_tol_10m,start_tol_5m,task_f1,task_precision,task_recall,time_close_accuracy_10m,time_close_accuracy_5m,time_exact_accuracy,train_change_acc,train_close_acc_1,train_close_acc_2,train_count_exact_acc,train_count_mae,train_duration_mae_minutes,train_loss,train_start_exact_acc,train_start_mae_minutes,train_start_tol_10m,train_start_tol_5m,true_tasks,val_loss
89.1826923076923,15.625,28.125,3.125,5.1875,,,1.0434837341308594,1,,occurrence_residual,,,-33.75,,,,,,,,,,,91.5625,21.75,32.25,8.625,5.20375,,3.1945446825027464,,,,,,3.1174794160402737
89.1826923076923,12.5,28.125,3.125,5.1875,,,0.4201650619506836,2,,occurrence_residual,,,-33.75,,,,,,,,,,,93.0,21.25,33.4375,8.0625,4.795625,,3.131630525588989,,,,,,3.062573322883019
89.1826923076923,15.625,25.0,6.25,5.09375,,,0.47701001167297363,3,,occurrence_residual,,,-33.4375,,,,,,,,,,,92.1875,25.0,37.1875,10.0625,4.59625,,3.0813861417770387,,,,,,3.012853897534884
89.1826923076923,12.5,21.875,6.25,5.09375,,,0.474445104598999,4,,occurrence_residual,,,-35.3125,,,,,,,,,,,92.625,27.0,38.875,12.25,4.3375,,3.0321572637557983,,,,,,2.952561928675725
89.1826923076923,12.5,25.0,6.25,5.0625,,,0.4632291793823242,5,,occurrence_residual,,,-33.125,,,,,,,,,,,93.0,26.8125,40.5,10.8125,4.58375,,2.981244320869446,,,,,,2.948009417607234
89.1826923076923,12.5,21.875,9.375,5.03125,,,0.47621607780456543,6,,occurrence_residual,,,-33.4375,,,,,,,,,,,93.75,27.4375,40.5,13.4375,4.3325,,2.9011472558975218,,,,,,2.879203337889451
89.1826923076923,15.625,25.0,6.25,4.875,,,0.4674539566040039,7,,occurrence_residual,,,-31.25,,,,,,,,,,,93.4375,31.5,44.9375,14.125,4.174375,,2.8686652851104735,,,,,,2.87011665564317
89.1826923076923,18.75,31.25,9.375,4.65625,,,0.47319769859313965,8,,occurrence_residual,,,-24.0625,,,,,,,,,,,93.5625,30.4375,45.25,14.1875,4.05625,,2.797648253440857,,,,,,2.8382934606992283
89.1826923076923,18.75,25.0,9.375,4.625,,,0.47431421279907227,9,,occurrence_residual,,,-27.5,,,,,,,,,,,93.625,31.875,46.5625,15.6875,3.913125,,2.7865445137023928,,,,,,2.741348780118502
89.1826923076923,21.875,34.375,12.5,4.40625,,,0.49088501930236816,10,,occurrence_residual,,,-18.4375,,,,,,,,,,,92.8125,33.25,47.6875,16.75,3.794375,,2.727648115158081,,,,,,2.738609607403095
89.1826923076923,18.75,31.25,9.375,4.46875,,,0.46962928771972656,11,,occurrence_residual,,,-22.1875,,,,,,,,,,,93.0,34.875,50.5,16.6875,3.621875,,2.646350145339966,,,,,,2.6553371136005106
89.1826923076923,18.75,31.25,12.5,4.34375,,,0.4788553714752197,12,,occurrence_residual,,,-19.6875,,,,,,,,,,,94.4375,32.9375,50.1875,16.625,3.485,,2.6364870405197145,,,,,,2.626989089525663
