epoch,lr,train_active_f1,train_active_precision,train_active_recall,train_count_mae,train_day_acc,train_duration_mae_minutes,train_loss,train_loss_active,train_loss_count,train_loss_day,train_loss_duration,train_loss_time,train_loss_week_time,train_start_mae_minutes,train_start_tol_5m,val_active_f1,val_active_precision,val_active_recall,val_count_mae,val_day_acc,val_duration_mae_minutes,val_loss,val_loss_active,val_loss_count,val_loss_day,val_loss_duration,val_loss_time,val_loss_week_time,val_monitor_score,val_start_mae_minutes,val_start_tol_5m
1,0.00025,55.65095319673963,49.93379019700115,67.22930256603325,6.523358921209971,15.739522501826286,19.998324066400528,14.67227021853129,1.7985950609048207,6.523358921209971,1.9131491233905156,0.8285655562455455,5.523015161355336,7.44796101252238,3071.057726542155,0.4231789692615469,57.24601938367825,49.10002933971108,79.43101286332191,6.66647127696446,19.564786553382874,19.33444278580802,13.787605694362096,1.6408563341413225,6.66647127696446,1.8348098652703422,0.23699243366718292,5.12055322102138,6.979177611214774,-55.5116237316099,2114.0567670549667,0.6204529532364437
2,0.00025,62.11742759989644,57.610460273088506,69.155212473898,6.227010786533356,18.40562094002962,27.728198170661926,13.035856366157532,1.6962714592615764,6.227010786533356,1.862085943420728,0.3085303008556366,4.753588338692983,6.479408423105876,2572.6458168029785,1.0650849202647805,67.40058709459697,64.78017263628368,72.33352852330448,5.934467656271798,21.30163460969925,14.385828801563807,12.201009477887835,1.67116117477417,5.934467656271798,1.7757219587053572,0.19686437930379594,4.379943098340716,5.985232148851667,-58.078402234314225,2385.322047642299,0.9974771528504789
3,0.00025,67.24242066040509,67.27976711547849,69.74331999044558,6.07737918694814,19.790315131346386,13.10133988658587,12.001196106274923,1.5768377929925919,6.07737918694814,1.7328262676795323,0.1415100839609901,4.365639865398407,5.8743999401728315,2500.976276397705,1.8736782250925899,62.272889712737715,64.36384671157897,67.91609519209621,7.14487498147147,17.125108518770762,12.47738412448338,11.948577744620186,1.4935481207711356,7.14487498147147,1.6200920683997018,0.1213231235742569,4.176139456885202,5.642343248639788,-76.1147229633867,2845.081024169922,1.8380133701222283
4,0.00025,70.49408815111441,68.73148565563353,73.13088720587962,6.020758350690206,23.251474400361378,12.541154523690542,11.460237503051758,1.4129288345575333,6.020758350690206,1.6214898079633713,0.12883883093794188,4.21795129776001,5.621989210446675,2173.8950475056968,2.7926890489955745,70.31803443388755,73.10241061564552,67.94531914819792,5.594154357910156,25.85361706359046,12.942469460623604,11.143305369785853,1.557037455695016,5.594154357910156,1.5307666233607702,0.13275591603347234,4.056297506604876,5.403624466487339,-39.871485854900016,1894.1964503696986,4.551903105207852
5,0.00025,70.69236455098448,71.51868662530704,70.61933892688907,5.630804141362508,24.29221998900175,11.966708799203237,11.181106885274252,1.5014396955569584,5.630804141362508,1.591100702683131,0.11442580539733171,4.138059139251709,5.4501402378082275,2154.9919637044272,3.06910234503448,70.8188931947068,68.84885148022978,74.12816114189877,6.867378166743687,26.814862659999303,10.628592371940613,11.120753288269043,1.3017798491886683,6.867378166743687,1.4781872544969832,0.08834203864846911,4.005514962332589,5.250818116324289,-41.028008265402576,1864.3246895926338,4.856627115181515
6,0.00025,71.19919791226702,70.70962159249423,72.24303622659205,5.761901497840881,27.888901034990948,11.558450584610304,10.910968462626139,1.412848671277364,5.761901497840881,1.537399838368098,0.10614796758939822,4.056963344415029,5.28445980946223,1915.2783584594727,3.7568821338936687,70.01990285099664,71.24545526953229,70.55225207181766,5.841385500771659,30.147204654557363,11.039752449308123,10.818822860717773,1.518183674131121,5.841385500771659,1.4794084514890398,0.09365524138723101,3.924650396619524,5.130509172167097,-37.229461140417996,1813.7556675502233,5.417945847979614
7,0.00025,71.69062086138436,72.42626343083734,71.66652402961044,5.184842795133591,28.03362167129914,10.826799298326174,10.63119912147522,1.4996144473552704,5.184842795133591,1.5007742295662563,0.09107029717415571,4.0070711970329285,5.164255281289418,1921.6271909077961,3.96727262220035,72.62411052929302,65.67667576544338,81.904145115528,6.434285981314523,29.41735088825226,9.138871261051722,10.545660836356026,1.1733664444514684,6.434285981314523,1.401823776108878,0.06249391979404858,3.9113056659698486,5.037641116550991,-38.96514266378823,1874.1977800641741,6.3603785421167105
8,0.00025,71.76672396106513,70.33127283810079,74.37926698876745,5.40242753426234,30.65633699297905,9.975630169113478,10.483641505241394,1.4115233744184177,5.40242753426234,1.4227148791154225,0.08163908791417877,3.9672239621480307,5.072460651397705,1705.343672434489,4.45676544525971,69.04976707168711,77.26006632064953,63.11446818397086,5.004034451075962,33.811948554856436,8.821993129593986,10.391183171953474,1.6987212896347046,5.004034451075962,1.3183902842657906,0.06290162195052419,3.879129614148821,4.9074713843209405,-30.810169733727527,1669.3235342843193,6.200261493878705
9,0.00025,72.53874436706889,73.31537134142651,72.40641703850906,4.986574590206146,32.26712433000406,8.76834566394488,10.203426361083984,1.4355989495913188,4.986574590206146,1.3653615017731984,0.061898276985933386,3.9432019790013633,4.957028190294902,1626.618766784668,5.43032029333214,72.73205882055497,68.76263047523898,78.51401682965128,5.647914409637451,33.2367262669972,6.78345399243491,10.110298020499092,1.3393619571413313,5.647914409637451,1.2578062159674508,0.03728271169321878,3.8270881516592845,4.808108397892544,-33.27690429649155,1761.6512625558037,6.936405386243548
10,0.00025,73.51044804584262,69.43122024460676,78.9534285241699,5.24874472618103,34.69325018425783,9.251632889111837,10.016693274180094,1.3117745121320088,5.24874472618103,1.2850575198729832,0.06508843942234914,3.9041682382424674,4.847495853900909,1522.6578203837078,5.963114369660616,72.73889055329589,63.34755470173296,85.70493427549069,6.195892810821533,37.25657377924238,5.72861237185342,9.970143726893834,1.1769976956503732,6.195892810821533,1.165087171963283,0.029347056256873266,3.7979794570377896,4.688417162214007,-20.8162446440385,1336.0908617292132,7.886938218559537
11,0.00025,73.81959246495167,70.24483339500209,78.2344213122226,4.999391098817189,39.40202072262764,8.490296478072802,9.7118106285731,1.3025192618370056,4.999391098817189,1.168921376268069,0.05590519572918614,3.8684363663196564,4.700709640979767,1362.9391447703044,7.361046178266406,74.16748396359273,71.48863186270266,77.21488186312283,4.764879056385586,38.881975412368774,6.7978637133325845,9.46054036276681,1.4004642111914498,4.764879056385586,1.0397918905530656,0.035784006118774414,3.753375325884138,4.5221485410417825,-20.56083670415928,1453.6948721749443,8.779553802950042
12,0.00025,74.26711879315293,70.26567709375968,79.08456540758495,4.821248710155487,42.225164671738945,8.944957827528318,9.476546247800192,1.2924464692672093,4.821248710155487,1.0886216710011165,0.05918727861717343,3.84410626689593,4.581899583339691,1206.8223190307617,7.941902164990704,73.31146604090057,71.35156469821986,75.94797732768441,5.330540384565081,49.92975422314235,5.1270162633487155,9.32834107535226,1.299233385494777,5.330540384565081,0.9605347769601005,0.027815774216183593,3.704202856336321,4.3540898731776645,-8.096143400265564,1073.175550188337,12.470189003007752
13,0.00025,73.77429527263016,70.03404375788269,78.23204144910754,4.777738074461619,46.409559498230614,9.63689682384332,9.197677572568258,1.2906060839692752,4.777738074461619,1.0246829614043236,0.07126582600176334,3.7427321672439575,4.389272262652715,1143.9308071136475,10.184767469763756,74.00799287475716,66.67483562652632,83.43497775265868,5.718866143907819,45.224388582365854,7.9275998047419955,9.376568930489677,1.2631079299109322,5.718866143907819,0.9415577394621713,0.059445753161396296,3.685731683458601,4.312092133930752,-12.646474942191656,1173.5933031354632,11.343428758638245
14,0.00025,74.57435350716011,70.83181591898945,79.0963609325036,4.829346656799316,51.49884410202503,8.169189418355623,9.127342343330383,1.2942139108975728,4.829346656799316,0.9557550499836603,0.054492381090919174,3.750954657793045,4.325513829787572,956.6814136505127,11.288543759534756,74.66327030744752,68.8311641772975,81.93338560323375,5.5500655855451315,57.00278878211975,6.222366946084159,8.881390980311803,1.2046212809426444,5.5500655855451315,0.8219332695007324,0.0323250988232238,3.5893710340772356,4.037933758326939,-1.785630849426454,915.9954398018973,15.065881077732358
15,0.00025,74.8139958594633,71.98306768725739,78.31381107872001,4.684745421012242,56.977855414152145,8.020295028885206,8.822842717170715,1.3062712103128433,4.684745421012242,0.8635441909233729,0.04939704295247793,3.6566951870918274,4.135819286108017,818.00155321757,12.951115736116966,74.71424613497229,71.53501532171187,78.5936993919973,4.982102462223598,64.32654687336513,4.785665145942143,8.668479578835624,1.4119843414851598,4.982102462223598,0.7039344310760498,0.019461735284754207,3.509220906666347,3.8885298115866527,8.658981864152706,660.6429072788784,17.426046941961562
16,0.00025,75.15467104504445,71.61355926652472,79.44677393373703,4.623032033443451,64.03891394535701,8.20452039440473,8.447339653968811,1.2427044585347176,4.623032033443451,0.7715190847714742,0.05169721165051063,3.549489031235377,3.926693916320801,636.3605467478434,16.19495352109273,74.89063785500801,67.88686113467914,83.73578945179266,5.61073112487793,67.30004804474967,8.828274267060417,8.642098699297224,1.2109098604747228,5.61073112487793,0.7253124117851257,0.06587557707514081,3.473404816218785,3.845428330557687,11.58895512559203,540.92529296875,18.67960521153041
17,0.00025,75.39102767722936,71.23526992723663,80.42230073006802,4.360078891118367,66.28527566790581,8.104464411735535,8.176910817623138,1.204873003065586,4.360078891118367,0.7408018683393797,0.05142126542826494,3.5123962263266244,3.8209052085876465,571.3550392786661,17.63251709441344,75.34921119291941,68.12594847519848,84.832638316861,5.538375718253,69.58541784967694,4.849763853209359,8.329481329236712,1.1398064068385534,5.538375718253,0.6408506504126957,0.02841352258941957,3.442342553819929,3.6907681056431363,14.497783612373942,493.06508200509205,20.79488571201052
18,0.00025,76.04571511480314,71.43418629687697,81.57860178057831,4.537446250518163,67.7846039334933,8.257314264774323,8.13240877787272,1.199092189470927,4.537446250518163,0.7094880069295565,0.053414060889432825,3.4828544358412423,3.7467158238093057,529.0374851226807,17.811220915367205,74.13224641329,72.68486656804261,76.3368267228544,5.006547927856445,71.52308566229684,7.121712224824088,8.271297659192767,1.4209038189479284,5.006547927856445,0.6205429434776306,0.03815163405878203,3.3676279612949918,3.577364580971854,16.94982256693865,454.6568053109305,22.45746680668422
19,0.00025,76.03115619961035,71.65151320215605,81.3631902008761,4.494573752085368,70.39287189642589,7.4089086304108305,7.974976042906444,1.169882873694102,4.494573752085368,0.694068931043148,0.04345821853106221,3.4475201666355133,3.6624856889247894,494.9321985244751,19.69179455190897,75.60632600300424,68.47860878840896,85.00014433113594,5.481734071459089,72.57980023111615,7.404442514692034,7.986570290156773,1.105200128895896,5.481734071459089,0.59066013778959,0.03980778477021626,3.3080292088644847,3.479219743183681,16.88740391885473,458.5515458243234,23.592704108783177
20,0.00025,76.39838868514494,72.2750392860818,81.29378130523824,4.279200971126556,71.12149720390637,7.074211935202281,7.774827063083649,1.1814410164952278,4.279200971126556,0.6576882464190325,0.04176212133218845,3.4008193612098694,3.563009728988012,477.94345060984296,20.23185013482968,76.0604582273683,71.14906510723051,81.88722605505232,4.785334382738386,73.76131074769157,4.509664688791547,7.833758967263358,1.2276949201311385,4.785334382738386,0.6032085589000157,0.01845958855535303,3.290259293147496,3.4573427609034946,19.346001619201566,427.7570370265416,22.79306650161743
21,0.00025,76.86896950458649,72.64305510672126,82.14965656500013,4.47864493727684,70.93597228328387,7.004796514908473,7.751672347386678,1.1683922931551933,4.47864493727684,0.6700398897131284,0.040001251424352326,3.353374799092611,3.5025590558846793,482.8801202774048,20.604863483458757,76.37545141970772,69.38212467641101,85.63928429248156,5.118168762751988,74.15786130087716,7.294525504112244,7.683557714734759,1.156473525932857,5.118168762751988,0.5605735438210624,0.04003744332918099,3.2133759430476596,3.3107729639325822,20.51145029397147,398.49814006260465,25.486469055925095
22,0.00025,77.20584354103521,73.4945798213354,81.65662566722513,4.122173935174942,71.87555283308029,7.03373742600282,7.5042184591293335,1.1712603867053986,4.122173935174942,0.6448497076829275,0.03906142843576769,3.297155976295471,3.4116530815760293,461.6273005803426,22.08242416381836,77.18127039091375,69.35453314872454,87.13633942343884,5.051384823662894,75.78569735799518,6.299900966031211,7.546585764203753,1.02838967527662,5.051384823662894,0.5464273563453129,0.03424563950725964,3.2395855358668735,3.3217995847974504,21.483066161886057,386.75565447126115,25.46138891151973
23,0.00025,77.3537757547117,72.21977565828848,83.55439921413567,4.2014104922612505,73.77132922410965,6.538397818803787,7.409341176350911,1.1283289367953937,4.2014104922612505,0.6103489721814791,0.034876861066247024,3.2763849596182504,3.3551635841528573,430.53339163462323,22.896909527480602,77.46580419142792,71.90255857671823,84.2678588656595,4.643591335841587,76.4294479574476,7.193695136478969,7.375692980630057,1.1276760952813285,4.643591335841587,0.5398018998759133,0.0385168476828507,3.1765735830579485,3.22648446900504,22.35930004934383,382.5200516836984,24.93083647319249
24,0.00025,77.58502705175904,73.45087293747603,82.41094777102629,3.874578903118769,73.44864060481389,6.718418498833974,7.2492178082466125,1.1407590707143147,3.874578903118769,0.6296361473699411,0.03579973786448439,3.2303717335065207,3.31099541982015,438.0142203966777,23.37432981779178,77.3905595255568,69.83768790881615,86.98965961534505,4.7684294155665805,75.3860490662711,7.102485724857876,7.358231953212193,1.0529180680002486,4.7684294155665805,0.5953465146677834,0.0386662914284638,3.143174512045724,3.234105007989066,21.066174262138375,408.79095349993025,24.56167212554387
25,0.00025,78.02380417597463,72.28809311725728,85.14700639508361,4.172929714123408,73.5849844912688,6.630449419220288,7.235500832398732,1.0920955017209053,4.172929714123408,0.6214351331194242,0.03374118939973414,3.204184263944626,3.2591731250286102,430.8122269312541,24.068029286960762,77.59079448462023,72.13879063314761,84.21499625473116,4.37309285572597,75.44995631490436,5.509867753301348,7.397043568747384,1.113460055419377,4.37309285572597,0.5639353224209377,0.024370027173842703,3.244892086301531,3.321967806134905,23.299426855071967,394.95514733450756,27.051390494619096
