task_precision,task_recall,task_f1,time_exact_accuracy,time_close_accuracy_5m,time_close_accuracy_10m,duration_close_accuracy,start_mae_minutes,overlap_same_robot_count,predicted_tasks,true_tasks,matched_tasks,database_id,robot_id,target_week
90.9090909090909,74.07407407407408,81.63265306122449,40.0,40.0,45.0,100.0,664.25,0.0,22.0,27.0,20.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-07-23 00:00:00+02:00
83.87096774193549,76.47058823529412,80.0,30.76923076923077,30.76923076923077,30.76923076923077,100.0,728.6538461538462,0.0,31.0,34.0,26.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-07-30 00:00:00+02:00
90.47619047619048,54.285714285714285,67.85714285714285,63.1578947368421,63.1578947368421,63.1578947368421,100.0,570.0,0.0,21.0,35.0,19.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-08-06 00:00:00+02:00
96.0,72.72727272727273,82.75862068965517,8.333333333333332,14.583333333333334,22.916666666666664,100.0,616.25,0.0,50.0,66.0,48.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-08-13 00:00:00+02:00
92.10526315789474,77.77777777777779,84.33734939759037,48.57142857142857,51.42857142857142,51.42857142857142,100.0,523.5714285714286,0.0,38.0,45.0,35.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-08-20 00:00:00+02:00
86.66666666666667,83.87096774193549,85.24590163934425,34.61538461538461,34.61538461538461,34.61538461538461,100.0,891.3461538461538,0.0,30.0,31.0,26.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-08-27 00:00:00+02:00
80.95238095238095,60.71428571428571,69.38775510204083,41.17647058823529,41.17647058823529,41.17647058823529,100.0,599.4117647058823,0.0,21.0,28.0,17.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-09-03 00:00:00+02:00
88.09523809523809,74.0,80.43478260869566,32.432432432432435,37.83783783783784,43.24324324324324,100.0,773.5135135135135,0.0,42.0,50.0,37.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-09-10 00:00:00+02:00
100.0,71.21212121212122,83.18584070796462,31.914893617021278,38.297872340425535,40.42553191489361,100.0,248.82978723404256,0.0,47.0,66.0,47.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-09-17 00:00:00+02:00
94.87179487179486,84.0909090909091,89.1566265060241,35.13513513513514,37.83783783783784,37.83783783783784,100.0,810.5405405405405,0.0,39.0,44.0,37.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-09-24 00:00:00+02:00
100.0,67.6923076923077,80.73394495412845,25.0,27.27272727272727,29.545454545454547,100.0,355.45454545454544,0.0,44.0,65.0,44.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-10-01 00:00:00+02:00
89.33333333333333,78.82352941176471,83.74999999999999,26.865671641791046,26.865671641791046,31.343283582089555,100.0,222.16417910447763,3.0,75.0,85.0,67.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-10-08 00:00:00+02:00
98.68421052631578,89.28571428571429,93.75,2.666666666666667,4.0,16.0,100.0,389.46666666666664,0.0,76.0,84.0,75.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-10-15 00:00:00+02:00
96.05263157894737,86.90476190476191,91.25000000000001,19.17808219178082,19.17808219178082,26.027397260273972,100.0,223.76712328767124,0.0,76.0,84.0,73.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-10-22 00:00:00+02:00
91.93548387096774,98.27586206896551,95.0,28.07017543859649,28.07017543859649,28.07017543859649,100.0,647.0175438596491,0.0,62.0,58.0,57.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-10-29 00:00:00+01:00
96.25,97.46835443037975,96.85534591194968,33.76623376623377,33.76623376623377,35.064935064935064,100.0,489.35064935064935,0.0,80.0,79.0,77.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-11-05 00:00:00+01:00
90.36144578313254,93.75,92.0245398773006,21.333333333333336,26.666666666666668,32.0,100.0,428.8666666666667,0.0,83.0,80.0,75.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-11-12 00:00:00+01:00
98.86363636363636,97.75280898876404,98.3050847457627,31.03448275862069,31.03448275862069,33.33333333333333,100.0,211.09195402298852,0.0,88.0,89.0,87.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-11-19 00:00:00+01:00
98.4375,95.45454545454545,96.92307692307692,44.44444444444444,44.44444444444444,47.61904761904761,100.0,364.36507936507934,0.0,64.0,66.0,63.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-11-26 00:00:00+01:00
91.56626506024097,95.0,93.25153374233128,28.947368421052634,28.947368421052634,32.89473684210527,100.0,383.0921052631579,3.0,83.0,80.0,76.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-12-03 00:00:00+01:00
94.73684210526315,91.13924050632912,92.90322580645162,37.5,38.88888888888889,41.66666666666667,100.0,559.7916666666666,0.0,76.0,79.0,72.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-12-10 00:00:00+01:00
92.85714285714286,100.0,96.2962962962963,26.373626373626376,30.76923076923077,31.868131868131865,100.0,266.75824175824175,3.0,98.0,91.0,91.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-12-17 00:00:00+01:00
92.0,98.57142857142858,95.17241379310346,44.927536231884055,44.927536231884055,49.275362318840585,100.0,290.7971014492754,0.0,75.0,70.0,69.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-12-24 00:00:00+01:00
89.55223880597015,100.0,94.48818897637796,46.666666666666664,46.666666666666664,56.666666666666664,100.0,316.4166666666667,0.0,67.0,60.0,60.0,nexus_10y,nexus-r0b0t-0001-4aaa-8bbb-c0mplex001x,2035-12-31 00:00:00+01:00
